0,1,2,3
Sl. no.,Name of institution,Estd. year,Enrolment capacity
1,"Medical Assistant Training School, Kumilla",1979,52
2,"Medical Assistant Training School, Noakhali",1976,102
3,"Medical Assistant Training School, Faridpur",1979,102
4,"Medical Assistant Training School, Tangail",1979,102
5,"Medical Assistant Training School, Bagerhat",1979,152
6,"Medical Assistant Training School, Kushtia",1976,102
7,"Medical Assistant Training School, Jhenaidah",2011,52
8,"Medical Assistant Training School, Sirajganj",1979,102
9,"Medical Assistant Training School, Satkhira",2018,52
10,"Medical Assistant Training School, Gazipur",2020,52
11,"Medical Assistant Training School, Gopalganj",2020,52
Total seats,,,922
