0,1,2,3
Sl. no.,Name of institution,Estd. year,No. of seats
1,"Institute of Health Technology, Dhaka",1963,377
2,"Institute of Health Technology, Rajshahi",1976,327
3,"Institute of Health Technology, Bogura",2006,307
4,"Institute of Health Technology, Fouzdarhat, Chattogram",2011,277
5,"Institute of Health Technology, Barishal",2011,277
6,"Institute of Health Technology, Rangpur",2011,277
7,"Institute of Health Technology, Jhenaidah",2012,277
8,"Institute of Health Technology, Sylhet",2012,257
9,"Institute of Health Technology, Sirajganj",2017,103
10,"Institute of Health Technology, Satkhira",2018,103
11,"Institute of Health Technology, Jamalpur",2018,103
12,"Institute of Health Technology, Tungipara",2019,103
13,"Institute of Health Technology, Gazipur",2019,103
14,"Institute of Health Technology, Joypurhat",2020,103
15,"Institute of Health Technology, Naogaon",2020,103
Total seats,,,3097
