0,1
Fig: 1 Map diagram showing the distribution of the patients,05
Fig: 2 Distribution of the patients by division,06
Fig 3: Paediatric cancers (n=340),11
Fig 4: Geriatric cancers (n=2291),13
Fig 5: Age distribution of all cancer patients,15
Fig 6: Tumour board decision regarding treatment,15
Fig 7: Method of diagnosis,15
Fig 8: Age distribution of H & N cancers,17
Fig 9: Age distribution of respiratory cancers,18
Fig 10: Age group distribution of lung cancer patients,19
Fig 11: Case Referral (lung cancer),19
Fig 12: Age group distribution of breast cancer patients,20
Fig 13: Diagnostic status (n=1373),20
Fig 14: Parity and breast cancer (n=1346),21
Fig 15: Case referral (Breast cancer),21
Fig 16: Age group distribution (GIT),22
Fig 17: Case referral (GIT),22
Fig 18: Age distribution,24
Fig 19: Diagnostic status (Bone cancer),24
Fig 20: Case referral (Bone cancer),25
Fig 21: Histological pattern (Bone Cancer),25
Fig 22: Age distribution of cervical cancer patients,26
Fig 23: Parity (Cervical cancer),27
Fig 24: Diagnostic status (Cervical cancer),27
Fig 25: Case referral (Cervical cancer),27
Fig 26: Age distribution of ovarian cancer patients,28
Fig 27: Diagnostic status (ovarian ca),28
Fig 28: Case referral (Ovarian cancer),29
Fig 29: Morphological type (Ovarian ca),29
