0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
IEC,Potential Impact,Mitigation Measures,Actual Implementation,,Compliance Status,,,,,,,,,Remarks,
,,,,,FC,,,PC,,,NC,,,,
,,"the facilities provided for them, as opposed to ad hoc alternatives (e.g.
fires for cooking, the use of surrounding bushes as a toilet facility); (iv)
no fires permitted on site except if needed for the construction works;
(v) trespassing on private/commercial properties adjoining the site is
forbidden; (vi) other than pre-approved security staff, no workers shall
be permitted to live on the construction site; and (vii) no worker may
be forced to do work that is potentially dangerous or that he/she is not
trained to do.
• Interested and affected parties need to be made aware of the
existence of the complaints book and the methods of communication
available to them. The contractor must address queries and
complaints by: (i) documenting details of such communications; (ii)
submitting these for inclusion in complaints register; (iii) bringing
issues to the Environmental Safeguard Specialist’s attention
immediately; and (iv) taking remedial action as per specialist’s
instruction.
• The contractor shall immediately take the necessary remedial action
on any complaint/grievance received by him and forward the details of
the grievance along with the action taken to the environmental
specialist within 48 hours of receipt of such complaint/grievance.",,,,,,,,,,,,,
"Earth
Excavation","• Excavation of borrow pits will add to
the destruction of flora. Dust
generation will be occurred from earth
excavation, earth & sand stockpiles
during dry period.","• Water spray to the dry earth/material stockpiles, access roads and
bare soils as and when required to minimize the potential for
environmental nuisance due to dust.
• Contractors will be prohibited from opening new areas in local
waterbody for extracting and/or sourcing sands, especially areas in
local rivers that remain in relatively good natural conditions and areas
that support fish of conservation importance.",• Earth excavation is not started yet.,FC,,,,,,,,,,,
"Flora and
Fauna","• Effects of construction work on
species of conservation concern—
and on local wildlife and habitats in
general","• Temporary fencing should be installed around standing water areas to
reinforce the prohibition. Where runoff from active work areas is
directed to ponds, silt curtains and temporary sediment traps should
be used to limit siltation.",• No flora is required to cut yet.,FC,,,,,,,,,"No damage
is expected
due to the
activities.",,
Water Pollution,"• Construction activity involving
excavation and earthworks inevitably
exposes loose soil to the elements.
• Construction camps are a common
source of surface water
contamination, as toilet facilities are
typically rudimentary and likely to leak
raw or virtually untreated effluent. This
may significantly exacerbate existing
surface water quality problems, which","• Protecting disturbed soil from rain by keeping exposed areas covered
with mulches, fiber mats and other temporary coverings;
• Keeping all stockpiles of erodible materials covered with tarpaulins
whenever they are not in active use;
• Arranging construction site drainage so surface runoff is directed away
from exposed soils and materials stockpiles;
• Installing and regularly maintaining sediment traps in site runoff
channels;
• Strictly requiring use of drip mats during refueling and equipment
repairs and servicing;","• Wastes are collected in a bin and
managed properly.
• No wastes are dumped into the water
body.",FC,,,,,,,,,,,
