0,1,2,3
SL. No,Name,Designation,Role in the Committee
1.,Dr. Mohammad Harun Ur Rashid,Deputy Project Director,Chairperson
2.,Dr. Ms. Sharmin Jahan,Project Officer,Member Secretary
3.,Dr. Sabrina Shams,"Deputy Programme Manager, DGHS",Member (Female)
4.,Mayen Uddin Tazim,"Social Safeguard Specialist
(Demobilized in October 2023)",Member
5.,Raisin Akhter Feroz,Environmental Safeguards Specialist,Member
