0,1,2,3,4
Package/Lot,"Final IEE/EMP Provided
to Contractor (Yes/No)","Disclosed
on DGHS/project
website","Site-specific EMP
Approved by PIU
(Yes/No)",Disclosure Link
Construction of 50 bed Isolation Unit & 10 bed ICU/CCU,,,,
Dhaka Medical College Hospital,,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-10-
4e25762efac5d7b6f504a652423388cf.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-13-
a9ed30358037d9d749ba8383ea32e307.pdf"
Mugda 500 bed General Hospital,,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-06-
cba30afe6e90e27aacfb1af487f0eef8.pdf"
Installation of Medical Gas System,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a
69e61/2023-11-02-07-16-
56a0cd797e1e40949f3ad84e407a5460.pdf"
"Rajshahi Medical College Hospital, Rajshahi",,,,
50 bed Isolation Unit & 10 bed ICU/CCU,YES,YES,YES,"https://dghs.portal.gov.bd/sites/default/files/files/dghs.p
ortal.gov.bd/page/05b4a937_ed7b_40b5_a708_a70e98a"
