0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
COVID-19 Response Questions,DMCH,RMCH,CuMCH,MMCH,SSKMCH,KMCH,MuMCH,SSMCH,CMCH,,DNCC,,NIPSOM,FMCH,,MC at,,Remarks
,,,,,,,,,,,COVID,,,,,Akhaura,,
,,,,,,,,,,,dedicated,,,,,Land,,
,,,,,,,,,,,Hospital,,,,,Port,,
"Make these trainings mandatory
at worksites. Provide 10-15
minutes of a workday for such
‘training and encouragement’
activities.",,,,,,,,,,,,,,,,,,
