0,1,2
Recommended Corrective Action Measures,Timeline,Implementation Status
"DGHS/PIU to ensure timely submission of EMR ensuring
quality by incorporating earlier recommendations; A PCR-
EMR is required to submit in October 2023.",by 30 June 2023,"Submitted as per given dateline by the ADB.
The Project time has been extended to April
2024. Therefore, a PCR EMR will be prepared
and submitted accordingly."
"Environmental safeguard specialist was advised to
conduct monitoring of all completed and ongoing
subprojects from March to May and submit a report.","by 15 June 2023.
A monitoring plan
will be shared with
ADB by 15 May
2023","Most of the subprojects have already been
visited by the Environmental safeguard
specialist and Civil Engineer. Remaining
subprojects will be visited within February 2024."
"DGHS/PIU will revise the EMP for the NIPSOM lab and
submit to ADB in order to get approval",by 15 May 2023,Submitted the revised EMP
"DGHS/PIU will organize more training sessions covering
EMP implementation and occupational health and safety
for the engineers and contractors",by 30 June 2023,"Conducted at SSKMCH, NIPSOM and Akhaura
Land Port Sites."
"DGHS/PIU to review existing GRM and propose changes
for strengthening government’s GRM procedure for both
infrastructure and medical services",by 15 May 2023,"A Project level GRC has already been developed
in April 2023."
"DGHS/PIU to disclose the approved IEE, EMP and EMRs
on DGHS/project website",by 15 May 2023,"IEE and EMPs have already been disclosed and
the link have also been provided to ADB as well
as in this EMR. DGHS will disclose all the EMRs
soon on its website."
"Management of medical waste is a concern in some
completed ICU and CCUs. DGHS/PIU is advised to
identify the issues and include appropriate measures
(autoclave, biohazard bag, etc.).",,"PIU is consulting with respective MCHs and
advising accordingly."
