0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
IEC,,Potential Impact,Mitigation Measures,Actual Implementation,,Compliance Status,,,,,,,,,Remarks,
,,,,,,FC,,,PC,,,NC,,,,
,CONSTRUCTION PHASE,,,,,,,,,,,,,,,
"Waste
Management
for
Construction
and COVID
Waste",,"• Soil, water, and air pollution from the
improper management of wastes and
excess materials from the
construction sites.
• The discarded PPE has posed serious
health hazards and can spread the
contagion among cleaners and
walkers.","• Develop a waste management plan including COVID waste by the
help of the environmental consultant and later to update the plan,
if required.
• Use of colored bins (like yellow) and to put medical wastes in 2-3
layered plastic bag. These wastes need to disinfectant first using
chlorine or any other germicides and then safely transport them
through marked vehicles in a marked place.
• Waste segregation, packaging, collection, storage disposal, and
transport will be conducted in compliance with GOB, ADB and WHO
COVID-19 Guidelines.
• Train on correct use and disposal of PPEs and check that they
understand.
• Construction wastes (such as piece of rod, wood, bamboo, tin sheet,
brick etc.) shall be kept in designated area and sprayed water mist to
reduce the dust.
• Use PPE for staff handling any hazardous materials seepage of
hazardous chemicals in case of any accidental spills.
• Do not burn/throw in any wastes to the water bodies/drains.
• The PIU will audit any off-site waste disposal required on a monthly
basis and institute any remedial measures required to ensure
compliance.
• Waste management plan has been attached in the appendix stating
specific mitigation measures for domestic and sanitary wastes disposal
in a manner that will not cause soil and water contamination","• Waste Management Plan has already
been prepared.
• Adequate safety equipment is provided by
the contractors.
• No COVID waste was found at the sites.",FC,,,,,,,,,,,
"Management
of Workers
Facility",,"• Lack of proper facilities such as water
supply and sanitation facilities may
pose health hazards to workers.","• Ensure sufficient stock of soap, sanitizer, washing facility and safe
water at work site. Also, provision of an appropriate number of toilets
and hand-washing points.
• At the entrance of the worksite every personnel must wash their hands
for 20 second with maintaining a distance of at least 6ft from each
other.
• Check the availability of medical kits at the site on weekly basis.
• Preparation of daily routine checkup including temperature screenings
of the workers and staff.","• Contractors have provided sufficient soap,
sanitizer and washing materials at work
site.
• Contractors purchased the medical kits
and available at sites.",FC,,,,,,,,,,,
"Drinking Water
Quality",,"• Groundwater at shallow depths may
be contaminated with arsenic and
other parameters and hence not
suitable for drinking purposes.","• Provide the drinking water that meets national standards.
• Select aquifers for drinking water free from arsenic and other
contaminants.
• Tube wells will be installed with due regard for surface environment,
protection of groundwater from surface contaminants, and protection","• Contractors arranged drinking water either
from land port premises or bought it from
vendors.
• Workers are always using safe drinking
water.",FC,,,,,,,,,,,
