0,1,2,3,4,5,6,7,8,9,10,11,12,13
IEC,Potential Impact,Mitigation Measures,Actual Implementation,,Compliance Status,,,,,,,,Remarks
,,,,,FC,,,PC,,,NC,,
,,"of aquifer cross contamination. Sanitary waste should be adequately
disposed-off to avoid groundwater contamination.",,,,,,,,,,,
"Drainage
Congestion","• Water logging due to improper
management of drainage for
rainwater/liquid waste or wastewater.","• Regularly inspect and maintain all drains to assess and alleviate
any drainage congestion problem.
• Stockpile materials away from drainage lines.
• Reconstruct internal road-side drains immediately if damaged by any
activities.","• Contractor is aware about the drainage
congestion.
• Stockpiles are kept away from the drainage
lines.
•",FC,,,,,,,,,
"Dust/Air
Quality
Management","• Dust generation from construction
sites, material stockpiles specially
earth material stockpiles and access
roads are a nuisance in the
environment and can be a health
hazard.","• During pneumatic drilling/wall destruction dust shall be
suppressed by ongoing water spraying and/or installing dust
screen enclosures at site.
• Water spraying the material stockpiles and access roads when and
as required basis to minimize the potential for environmental
nuisance due to dust. Increase the watering frequency during periods
of high risk (especially during the dry period and high winds).
• Cover hauls vehicles carrying dusty materials moving outside the
construction site.
• Fit machinery/vehicles with appropriate exhaust systems and
emission control devices.","• Contractors are taking action to reduce the
dust from the construction activities.
• Water spray, cleaning the debris from
construction sites are monitored by the
Contractor’s engineer or PIU personnel.",FC,,,,,,,,,
"Noise and
Vibration
Management","• Noise may have an impact on
workers, patients, hospital staffs, local
residents etc.","• Appropriately site all noise generating activities to avoid noise
pollution to workers, patients, hospital staffs, local residents
etc.
• Install temporary noise barriers by screen, tin, wood around
generators to reduce noise levels.
• Employ best available work practices on-site to minimize
occupational noise levels. Use ear plugs in noisy areas of the
construction activities.
• Maintain all equipment in order to keep it in good working order in
accordance with manufactures maintenance procedures.","• All noise generating works are performed
away from the patients, hospital staff area.
• Noisy works under this package is very
limited.
• Since the sites are located either on another
floor or away from patients’ ward/cabin
therefore disturbance due to noise is limited.",FC,,,,,,,,,
"Occupational
Health and
Safety (OHS)","• Construction works may pose health
and safety risks to construction
workers that may cause severe
injuries and deaths.
• Lack of first aid and health care
facilities in the immediate vicinity.
• Health risk of construction workers
due to COVID-19.","• Develop and implement an Occupational Health and Safety Plan to
ensure competent and consistent attention to worker health and
safety throughout the construction phase.
• Prepare the health and safety guidance for COVID-19 at work
sites and get approval from PMU, and strictly follow the
guidance at worksite;
• Any worker showing symptoms of respiratory illness (fever, cold or
cough) and has potentially been exposed to COVID-19 should be
immediately removed from the site and tested for the virus at DMCH;","• Contractors provided adequate PPE to
workers.
• Workers are wearing the safety equipment
during their works.
• PIU/PWD personnel and the hospital
authority are advising to follow COVID-19
guidance.",FC,,,,,,,,,
