0,1,2,3,4,5,6,7,8,9
".oN
.viD",,".oN
.tsiD",,,Adjusted,Estimated,Estimated,Estimated,Estimated
,Name of Division,,,Name of District,Population,Population,Population,Population,Population
,,,,,(2001),(2002),(2003),(2004),(2005)
,,,,,,,,,
1,Barisal Division,1,,Barisal District,2465392,2501880,2538368,2574855,2611343
,,2,,Barguna District,887144,900274,913403,926533,939663
,,3,,Bhola District,1788019,1814482,1840944,1867407,1893870
,,4,,Jhalakhati District,727175,737937,748699,759462,770224
,,5,,Patuakhali District,1537747,1560506,1583264,1606023,1628782
,,6,,Pirojpur District,1154549,1171636,1188724,1205811,1222898
Barisal Division,,,,,8560026,8686714,8813403,8940091,9066780
2,Chittagong Division,7,,Bandarban District,315717,320390,325062,329735,334407
,,8,,Brahmanbaria Dist.,2496403,2533350,2570297,2607243,2644190
,,9,,Chandpur District,2352623,2387442,2422261,2457079,2491898
,,10,,Chittagong District,6869744,6971416,7073088,7174761,7276433
,,11,,Comilla District,4819989,4891325,4962661,5033997,5105332
,,12,,Cox'sBazar District,1847186,1874524,1901863,1929201,1956539
,,13,,Feni District,1266038,1284775,1303513,1322250,1340987
,,14,,Kharachari District,542642,550673,558704,566735,574766
,,15,,Laxmipur District,1560570,1583666,1606763,1629859,1652956
,,16,,Noakhali District,2698658,2738598,2778538,2818478,2858419
,,17,,Rangamati District,551250,559409,567567,575726,583884
Chittagong Division,,,,,25320820,25695568,26070316,26445064,26819813
3,Dhaka Division,18,,Dhaka District,9047911,9181820,9315729,9449638,9583547
,,19,,Faridpur District,1829507,1856584,1883660,1910737,1937814
,,20,,Gazipur District,2124018,2155453,2186889,2218324,2249760
,,21,,Gopalgonj District,1209160,1227056,1244951,1262847,1280742
,,22,,Jamalpur District,2210921,2243643,2276364,2309086,2341808
,,23,,Keshoregonj District,2684591,2724323,2764055,2803787,2843519
,,24,,Madaripur District,1186211,1203767,1221323,1238879,1256435
,,25,,Manikgonj District,1366735,1386963,1407190,1427418,1447646
,,26,,Munshigonj District,1353297,1373326,1393355,1413383,1433412
,,27,,Mymensingh District,4682234,4751531,4820828,4890125,4959422
,,28,,Narayangonj District,2278843,2312570,2346297,2380024,2413751
,,29,,Narshingdi District,1996552,2026101,2055650,2085199,2114748
,,30,,Netrokona District,2069408,2100035,2130662,2161290,2191917
,,31,,Rajbari District,999704,1014500,1029295,1044091,1058886
,,32,,Shariatpur District,1134498,1151289,1168079,1184870,1201660
,,33,,Sherpur District,1331083,1350783,1370483,1390183,1409883
,,34,,Tangail District,3424028,3474704,3525379,3576055,3626730
