0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Despatch Clerk,3,3,0,3,0
Despatch Rider,2,0,0,0,2
Diet Asstt.,1,1,0,1,0
Diet Clerk,5,4,0,4,1
Dresser,7,7,0,7,0
Driver,612,492,0,492,120
E.P. Operator,8,8,0,8,0
ECG Technician,2,2,0,2,0
Electrician,10,10,0,10,0
Electro Medical Technician,1,1,0,1,0
Engine Driver,1,1,0,1,0
Field Asstt.,7,5,2,7,0
Filling Machine Operator,1,1,0,1,0
Generator Operator,4,3,0,3,1
Health Asstt.,"20,964","10,616","5,172","15,788","5,176"
Home Visitor,22,5,12,17,5
House Keeper,20,6,13,19,1
Imam,16,16,0,16,0
Inland Master,1,0,0,0,1
Instrument Care Taker,13,13,0,13,0
Invistigator,3,1,0,1,2
Jr. Mechanic,11,11,0,11,0
Lab. Asstt.,4,1,0,1,3
Lady Home Visitor,12,0,1,1,11
Laundary Supervisor,2,0,0,0,2
LDA Cum Computer Analyst,3,2,1,3,0
Leaser Keeper,2,1,1,2,0
Leprosy Control Asstt.,364,276,9,285,79
Librarian,14,11,2,13,1
Library Asstt.,5,3,0,3,2
Linen Keeper,20,16,2,18,2
Lower Division Asstt.,3,2,1,3,0
Maintenance Technician,2,1,0,1,1
Mechanic,2,2,0,2,0
Media Maker,13,6,2,8,5
Medical Record Keeper,36,29,1,30,6
Moazzem,1,1,0,1,0
Motor Launch Driver,2,0,0,0,2
Nephro Technician,3,3,0,3,0
Office Asstt.,"2,290","1,615",358,"1,973",317
Photographer,2,1,0,1,1
Projectionist,26,16,2,18,8
Projector Operator,1,1,0,1,0
Projector Technician,1,1,0,1,0
Receiptionist,20,15,5,20,0
Receptionist Cum Tel. Operator,3,1,0,1,2
