0,1,2,3,4,5,6,7,8,9,10,11
Goal,Target,Indicator,,1990,,,Curre,,,MDG,
,,,,Bench,,,nt,,,Target,
,,,,mark,,,Status,,,(2015),
"1. Eradicate
extreme
poverty and
hunger","Halve between 1990 and 2015,
the proportion of people whose
income is less than one dollar a
day.","Proportion of population
below US $ 1 per day (PPP
– values)",58.8,,,(2000),,,29.4,,
,"Halve between 1990 and 2015,
the proportion of people who
suffer from hunger","Prevalence of underweight
children (% of children
under 5)",65.8,,,"47.7
(2000)",,,32.9,,
"2. Achieve
universal
primary
education","Ensure that, by 2015, children
everywhere, boys and girls alike,
will be able to complete a full
course of primary schooling","Primary education
Enrolment Rate",56.0,,,"82.7%
(2000)",,,100.0,,
"4. Reduced
Child
Mortality","Reduce by two thirds, between
1990 and 2015, the under five
mortality rate","Under five mortality rate
(per 1000 live births)",144.0,,,"84.6
(2001)",,,48.0,,
,,"Infant mortality rate (per
1000 live births)",94.0,,,"65
(2004)",,,31.3,,
,,"Proportion of infants
immunized against measles",65.0,,,"75.0
(2001)",,,,,
"5. Improved
maternal
health","Reduced by three quarters,
between 1990 and 2015, the
maternal mortality ratio","Maternal mortality ratio (per
1000 live births)",4.8,,,"3.2
(2001)",,,1.2,,
,,"Proportion of births
attended by skilled health
personnel",7.0,,,"14
(2001)",,,"50.0
(by
2010)",,
"6. Combat
HIV/ AIDS
malaria and
other diseases.","Have halted by 2015 and begun
to reverse the spread of
HIV/AIDS","Prevalence of HIV (%
among high risk groups)",,,,"<1.0%
(2001-
2002)",,,,,
,"Have halted by 2015 and begun
to reverse the incidence of
malaria and other major diseases","Proportion of new
tubercuosis cases detected
and cured under DOTS","29.2
(1993)",,,"34
(2001)",,,"70%
(2005)",,
"7. Ensure
environmental
sustainability","(cid:20) Integrate the principles of
sustainable development into
country policies and
programmes and reverse the loss
of environmental resources
(cid:20) Halve by 2015 the proportion
of people without sustainable
access to safe drinking water.
(cid:20) By 2020 to have achieved a
significant improvement in the
lives of at least 100 million slum
dwellers.","(cid:20) Proportion of Population
using solid fuels
(cid:20) Proportion of population
with sustainable access to an
improved water source,
urban and rural.
(cid:20) Proportion of urban
population with access to
improved sanitation.",,,,,,,,,
"8. Develop a
global
partnership for
development","In cooperation with
pharmaceutical companies,
provide access to affordable
essential drugs in developing
countries","Proportion of population
with access to affordable
essential drugs on a
sustainable basis",,,,,,,,,
