0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,"Number of children ( 0<2 yrs) covered, 2001-2005",,,,,,,,,,
Year,,,,,,,,,,,
,,,,,,,,,,,
,Terget,BCG,DPT 1,DPT 2,DPT 3,OPV 1,OPV 2,OPV 3,OPV 4,Measles,Vita.-A
,,,,,,,,,,,
2001,3051222,3198263,3174329,3187826,3092110,3174416,3177606,3087339,2362640,3015081,2289580
2002,3306089,3333962,3312461,3347483,3276272,3295131,3335284,3261074,2927323,3221541,2930685
2003,3623462,3532954,3489779,3504728,3455634,3491924,3498452,3448940,3351760,3389077,3082493
2004,3421614,3580453,3552242,3562964,3508176,3554339,3561094,3507466,3500834,3528007,3300779
2005,3732591,3616898,3568160,3601482,3573367,3568749,3599340,3571123,3491577,3508542,3228774
