0,1,2,3,4
Upazila Health Complexes,,,,
1,"Balaganj Upazila Health Complex , Sylhet",3,"Biswanath Upazila Health Complex , Sylhet",
,Sylhet,,Sunamganj,
4,"Companiganj Upazila Health Complex , Sylhet",1,"Biswambarpur Upazila Health Complex , Sunamganj",
5,"Fenchuganj Upazila Health Complex , Sylhet",2,"Chhatak Upazila Health Complex , Sunamganj",
6,"Dakhin Surma Upazila Health Complex , Sylhet",3,"Deerai Upazila Health Complex , Sunamganj",
7,"Golapganj Upazila Health Complex , Sylhet",4,"Dharmapasha Upazila Health Complex , Sunamganj",
8,"Gowainghat Upazila Health Complex , Sylhet",5,"Doarabazar Upazila Health Complex , Sunamganj",
9,"Jointapur Upazila Health Complex , Sylhet",6,"Jagannathpur Upazila Health Complex , Sunamganj",
10,"Kanaighat Upazila Health Complex , Sylhet",7,"Jamalganj Upazila Health Complex , Sunamganj",
11,"Zokigang Upazila Health Complex , Sylhet",8,"Sulla Upazila Health Complex , Sunamganj",
,Hobiganj,9,"Taherpur Upazila Health Complex , Sunamganj",
1,"Azmiriganj Upazila Health Complex , Hobiganj",,Moulavibazar,
2,"Bahubal Upazila Health Complex , Hobiganj",1,"Barlekha Upazila Health Complex , M.bazar",
3,"Baniachong Upazila Health Complex , Hobiganj",2,"Jhuri Upazila Health Complex , M.bazar",
4,"Chunarughat Upazila Health Complex , Hobiganj",3,"Kamalganj Upazila Health Complex , M.bazar",
5,"Lakhai Upazila Health Complex , Hobiganj",4,"Kaulaura Upazila Health Complex , M.bazar",
6,"Madhabpur Upazila Health Complex , Hobiganj",5,"Rajnagar Upazila Health Complex , M.bazar",
7,"Nabiganj Upazila Health Complex , Hobiganj",6,"Sreemangal Upazila Health Complex , M.bazar",
