0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
,,2001,,2002,,2003,,2004,,2005,
Div.,,,,,,,,,,,
,Division,,,,,,,,,,
No,,Incidence,,Incidence,,Incidence,,Incidence,,Incidence,
,,,CFR,,CFR,,CFR,,CFR,,CFR
,,Rate,,Rate,,Rate,,Rate,,Rate,
,,,,,,,,,,,
1,Barisal,0.29,0.13,0.23,0.10,0.16,0.08,0.20,0.11,0.17,0.08
2,Chittagong,1.33,0.05,1.99,0.06,1.45,0.07,1.63,0.06,1.51,0.04
3,Dhaka,1.27,0.02,1.61,0.02,1.45,0.04,1.42,0.03,1.40,0.03
4,Khulna,2.28,0.02,3.40,0.01,2.88,0.02,2.50,0.02,2.63,0.02
5,Rajshahi,1.31,0.02,1.62,0.02,1.62,0.05,1.44,0.08,1.32,0.06
6,Sylhet,2.57,0.05,2.99,0.04,2.45,0.08,2.29,0.06,1.64,0.02
,,,,,,,,,,,
All Divisions,,1.43,0.03,1.89,0.03,1.64,0.05,1.57,0.05,1.48,0.03
,,,,,,,,,,,
