0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Gopalpur,,Tangail Sadar,
,49,"Gopalpur Union Sub Center , Gopalpur , Tangail",55,"Anehola(Hugra) USC, Tangail Sadar , Tangail"
,50,"Hemnagar Union Sub Center , Gopalpur , Tangail",56,"Barabasalia(Mogra) USC, Tangail Sadar , Tangail"
,51,"Jhawail Union Sub Center , Gopalpur , Tangail",57,"Dharerbari(Baghil) USC, Tangail Sadar , Tangail"
,52,"Nagdashimla Union Sub Center, Gopalpur, Tangail",58,"Karatia Union Sub Center , Tangail Sadar , Tangail"
,Basail,,59,"Sontosh Union Sub Center , Tangail Sadar , Tangail"
,53,"Basail Union Sub Center , Basail , Tangail",Kalihati,
,54,"Moytha(Fulki) Union Sub Center , Basail , Tangail",60,"Bangra Union Sub Center , Kalihati , Tangail"
,,,61,"Daulatpur Union Sub Center , Kalihati , Tangail"
,Jamalpur District,,,
,Melandaha,,Sarisabari,
,1,"Mahamudpur Union Sub Center, Melandaha, Jamalpur",16,"Bawshi(bhatara) USC, Sarisabari, Jamalpur"
,2,"Mohiramkul(fulkocha) USC , Melandaha , Jamalpur",17,"Pingna Union Sub Center , Sarisabari , Jamalpur"
,Madarganj,,18,"Pogoldigha Union Sub Center, Sarisabari, Jamalpur"
,3,"Muslimabad(gunaritala) USC , Madarganj , Jamalpur",Islampur,
,4,"Patadaha Union Sub Center , Madarganj , Jamalpur",19,"Chinaduli Union Sub Center , Islampur , Jamalpur"
,5,"Shiduli Union Sub Center , Madarganj , Jamalpur",20,"Kulkandi Union Sub Center , Islampur , Jamalpur"
,6,"Tegoria Union Sub Center , Madarganj , Jamalpur",21,"Shyampur(chargoalini) USC, Islampur, Jamalpur"
,Jamalpur Sadar,,Dewanganj,
,7,"Chandra Union Sub Center , Jamalpur Sadar , Jamalpur",22,"Parramrampur USC, Dewanganj , Jamalpur"
,8,"Digpati Union Sub Center , Jamalpur Sadar , Jamalpur",23,"Sanandabari USC, Dewanganj , Jamalpur"
,9,"Itail Union Sub Center , Jamalpur Sadar , Jamalpur",Bakshiganj,
,10,"Kendua Union Sub Center , Jamalpur Sadar , Jamalpur",24,"Ghashirpara USC, Bakshiganj , Jamalpur"
,11,"Mesta Union Sub Center , Jamalpur Sadar , Jamalpur",25,"Marurchar Union Sub Center, Bakshiganj, Jamalpur"
,12,"Nandina Union Sub Center , Jamalpur Sadar, Jamalpur",26,"Nilakhia Union Sub Center , Bakshiganj , Jamalpur"
,13,"Narundi Union Sub Center , Jamalpur Sadar , Jamalpur",27,"Shadhurpara USC, Bakshiganj , Jamalpur"
,14,"Shahbapur USC , Jamalpur Sadar , Jamalpur",28,"Sharmara(bogarchar) USC, Bakshiganj, Jamalpur"
,15,"Shailerkanda USC , Jamalpur Sadar , Jamalpur",,
,Sherpur District,,,
,Nalitabari,,Sherpur Sadar,
,1,"Nuni Union Sub Center , Naltabari , Sherpur",3,"Andharia(Kamaria) USC, Sadar, Sherpur"
,2,"Rupnarayankura USC,Nalitabari,Sherpur",4,"Gazir Khamer Union Sub Center , Sadar , Sherpur"
,5,"Horo Chandra USC , Sherpur Sadar , Sherpur",Sribardi,
,6,"Nandi Bazar(Charmonaria) USC, Sadar, Sherpur",8,"Ranishimul Union Sub Center , Sribardi , Sherpur"
,Nakhla,,Jhenaigati,
,7,"Chandrokona Union Sub Center , Nakhla , Sherpur",9,"Jhenaigati Union Sub Center , Jhenaigati , Sherpur"
,Mymensingh District,,,
,Iswarganj,,Fulbaria,
,1,"Athara Bari Union Sub Center, Iswarganj, Mymensingh",11,"Asim Union Sub Center , Fulbaria , Mymensingh"
,2,"Laxmiganj(maizbag) USC , Iswarganj , Mymensingh",12,"Fulbaria Union Sub Center , Fulbaria , Mymensingh"
,3,"Rajibpur Union Sub Center , Iswarganj , Mymensingh",13,"Putijana Union Sub Center , Fulbaria , Mymensingh"
,Gofargaon,,14,"Rangamatia USC, Fulbaria , Mymensingh"
,4,"Halimabad(Panchbag) USC , Gofargaon , Mymensingh",Nandail,
,5,"Moshakhali Union Sub Center, Gofargaon,Mymensingh",15,"Darilla Union Sub Center , Nandail , Mymensingh"
,6,"Mukhi Union Sub Center , Gofargaon , Mymensingh",16,"Gangail Union Sub Center , Nandail , Mymensingh"
,7,"Shibganj(rouna) USC , Gofargaon , Mymensingh",17,"Kharua Union Sub Center , Nandail , Mymensingh"
,Fulpur,,18,"Muazzempur USC, Nandail , Mymensingh"
,8,"Kashiganj(biska) USC , Fulpur , Mymensingh",19,"Panchrukhi USC, Nandail , Mymensingh"
,9,"Rahimganj Union Sub Center , Fulpur , Mymensingh",,Trisal
,10,"Tarakanda Union Sub Center , Fulpur , Mymensingh",20,"Dani Khola Union Sub Center , Trisal , Mymensingh"
