0,1,2,3
Upazila Health Complexes,,,
5,"Saidpur Upazila Health Complex , Nilphamari",8,"Porsha Upazila Health Complex , Naogaon"
,Naogaon,,Serajganj
9,"Raninagar Upazila Health Complex , Naogaon",1,"Belkuchi Upazila Health Complex , Serajganj"
10,"Sapahar Upazila Health Complex , Naogaon",2,"Chowhali Upazila Health Complex , Serajganj"
,Joypurhat,3,"Kamarkanda Upazila Health Complex , Serajganj"
1,"Akkelpur Upazila Health Complex , Joypurhat",4,"Kazipur Upazila Health Complex , Serajganj"
2,"Kalai Upazila Health Complex , Joypurhat",5,"Raiganj Upazila Health Complex , Serajganj"
3,"Khetlal Upazila Health Complex , Joypurhat",6,"Shahzadpur Upazila Health Complex , Serajganj"
4,"Panchbibi Upazila Health Complex , Joypurhat",7,"Tarash Upazila Health Complex , Serajganj"
,Rangpur,8,"Ullapara Upazila Health Complex , Serajganj"
1,"Baderganj Upazila Health Complex , Rangpur",,Panchagarh
2,"Gangachara Upazila Health Complex , Rangpur",1,"Atwari Upazila Health Complex , Panchagarh"
3,"Kownia Upazila Health Complex , Rangpur",2,"Boda Upazila Health Complex , Panchagarh"
4,"Mithapukur Upazila Health Complex , Rangpur",3,"Debiganj Upazila Health Complex , Panchagarh"
5,"Pirgacha Upazila Health Complex , Rangpur",4,"Tetulia Upazila Health Complex , Panchagarh"
6,"Pirganj Upazila Health Complex , Rangpur",,Bogra
7,"Taraganj Upazila Health Complex , Rangpur",1,"Adamdighi Upazila Health Complex , Bogra"
,Pabna,2,"Dhunat Upazila Health Complex , Bogra"
1,"Atghoria Upazila Health Complex , Pabna",3,"Dhupchachia Upazila Health Complex , Bogra"
2,"Bangura Upazila Health Complex , Pabna",4,"Gabtali Upazila Health Complex , Bogra"
3,"Bera Upazila Health Complex , Pabna",5,"Kahaloo Upazila Health Complex , Bogra"
4,"Chatmohar Upazila Health Complex , Pabna",6,"Nandigram Upazila Health Complex , Bogra"
5,"Faridpur Upazila Health Complex , Pabna",7,"Sariakandi Upazila Health Complex , Bogra"
6,"Iswardi Upazila Health Complex , Pabna",8,"Shajahanpur Upazila Health Complex , Bogra"
7,"Santhia Upazila Health Complex , Pabna",9,"Sherpur Upazila Health Complex , Bogra"
8,"Sujanagar Upazila Health Complex , Pabna",10,"Shibganj Upazila Health Complex , Bogra"
,Dinajpur,11,"Sonatala Upazila Health Complex , Bogra"
1,"Birampur Upazila Health Complex , Dinajpur",,Gaibandha
2,"Birganj Upazila Health Complex , Dinajpur",1,"Fulchari Upazila Health Complex , Gaibandha"
3,"Birol Upazila Health Complex , Dinajpur",2,"Gobindaganj Upzila Health Complex , Gaibandha"
4,"Bochaganj Upazila Health Complex , Dinajpur",3,"Palashbari Upazila Health Complex , Gaibandha"
5,"Chirirbandar Upazila Health Complex , Dinajpur",4,"Sadullapur Upazila Health Complex , Gaibandha"
6,"Fulbari Upazila Health Complex , Dinajpur",5,"Shaghatta Upazila Health Complex , Gaibandha"
7,"Ghoraghat Upazila Health Complex , Dinajpur",6,"Sundarganj Upazila Health Complex , Gaibandha"
8,"Hakimpur Upazila Health Complex , Dinajpur",,Lalmonirhat
9,"Kaharol Upazila Health Complex , Dinajpur",1,"Aditmari Upazila Health Complex , Lalmonirhat"
10,"Khansama Upazila Health Complex , Dinajpur",2,"Hatibandha Upazila Health Complex , Lalmonirhat"
11,"Nawabganj Upazila Health Complex , Dinajpur",3,"Kaliganj Upazila Health Complex , Lalmonirhat"
12,"Parbatipur Upazila Health Complex , Dinajpur",4,"Patgram Upazila Health Complex , Lalmonirhat"
Khulna Division,,,
,Khulna,8,"Rupsha Upazila Health Complex , Khulna"
1,"Batiaghata Upazila Health Complex , Khulna",9,"Terakhada Upazila Health Complex , Khulna"
2,"Dacope Upazila Health Complex , Khulna",,Bagerhat
3,"Dighalia Upazila Health Complex , Khulna",1,"Chitalmari Upazila Health Complex , Bagerhat"
4,"Dumuria Upazila Health Complex , Khulna",2,"Fakirhat Upazila Health Complex , Bagerhat"
5,"Fultala Upazila Health Complex , Khulna",3,"Kachua Upazila Health Complex , Bagerhat"
6,"Koyra Upazila Health Complex , Khulna",4,"Mollahat Upazila Health Complex , Bagerhat"
