0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Noakhali District,,,
,,Senbag,,Hatiya
,1,"Harihar Union Sub Center , Senbag , Noakhali",17,"Afizia Union Sub Center , Hatiya , Noakhali"
,2,"Kankirhat Union Sub Center , Senbag , Noakhali",18,"Burirchar Union Sub Center , Hatiya , Noakhali"
,,Begumganj,19,"Mofizia Union Sub Center , Hatiya , Noakhali"
,3,"Abdullahpur UH&FWC, Begumganj , Noakhali",20,"Oskhali Union Sub Center , Hatiya , Noakhali"
,4,"Amishapara Union Sub Center , Begumganj , Noakhali",21,"Sonadi Union Sub Center , Hatiya , Noakhali"
,5,"Begumganj Union Sub Center , Begumganj , Noakhali",22,"Tamaruddin Union Sub Center , Hatiya , Noakhali"
,6,"Chandraganj Union Sub Center , Begumganj , Noakhali",,Companiganj
,7,"Ghatla UH&FWC, Begumganj , Noakhali",23,"Bamni Union Sub Center , Companiganj , Noakhali"
,8,"Gopalpur Union Sub Center , Begumganj , Noakhali",,Chatkhil
,9,"Jamidarhat Union Sub Center , Begumganj , Noakhali",24,"Nazibunnesa Union Sub Center , Chatkhil , Noakhali"
,10,"Jirtali Union Sub Center , Begumganj , Noakhali",,Noakhali Sadar
,11,"Joyag Union Sub Center , Begumganj , Noakhali",25,"Charvata Union Sub Center , Sadar , Noakhali"
,12,"Kashipur Union Sub Center , Begumganj , Noakhali",26,"Khaliferhat Union Sub Center , Sadar , Noakhali"
,13,"Nadona UH&FWC, Begumganj , Noakhali",27,"Kabirhat Union Sub Center, Sadar, Noakhali"
,14,"Siddiquenagar Union Sub Center, Begumganj, Noakhali",28,"Sonapur Union Sub Center , Sadar , Noakhali"
,15,"Sonaimuri Union Sub Center , Begumganj , Noakhali",29,"South Sarifpur Union Sub Center , Sadar , Noakhali"
,16,"Wasekpur UH&FWC, Begumganj , Noakhali",,
,Feni District,,,
,Sonagazi,,Chhagalnaya,
,1,"Amirabad Union Sub Center , Sonagazi , Feni",11,"Gopal Union Sub Center , Chhagalnaya , Feni"
,2,"Char Chandina Union Sub Center , Sonagazi , Feni",12,"Pathan Nagar Union Sub Center , Chhagalnaya , Feni"
,3,"Kutirhat Union Sub Center , Sonagazi , Feni",13,"Subapur Union Sub Center , Chhagalnaya , Feni"
,4,"Mangalkandi Union Sub Center , Sonagazi , Feni",Daganbhuiya,
,5,"Motiganj Union Sub Center , Sonagazi , Feni",14,"Daganbhuiyan USC, Daganbhuiya , Feni"
,Parsuram,,15,"Sujatpur Union Sub Center , Daganbhuiya , Feni"
,6,"Amzadhat Union Sub Center , Parsuram , Feni",Feni Sadar,
,7,"Fulgazi Union Sub Center , Parsuram , Feni",16,"Fazilpur Union Sub Center , Feni Sadar , Feni"
,8,"Munshirhat Union Sub Center , Parsuram , Feni",17,"Kalidah Union Sub Center , Feni Sadar , Feni"
,9,"Nowabazar Union Sub Center , Parsuram , Feni",18,"Khaiara Union Sub Center , Feni Sadar , Feni"
,10,"Subarbazar Union Sub Center , Parsuram , Feni",19,"Sharshadi Union Sub Center , Feni Sadar , Feni"
,Laxmipur District,,,
,Ramganj,,12,"Hazirhat UH&FWC, Ramgati , Laxmipur"
,1,"Bigha Union Sub Center , Ramganj , Laxmipur",13,"Ramgali Union Sub Center , Ramgati , Laxmipur"
,2,"Bolakot UH&FWC, Ramganj , Laxmipur",Raipur,
,3,"Changirgaon UH&FWC, Ramganj , Laxmipur",14,"Haiderganj Union Sub Center , Raipur , Laxmipur"
,4,"Dalta Union Sub Center , Ramganj , Laxmipur",15,"Saicha Union Sub Center , Raipur , Laxmipur"
,5,"Ishapur UH&FWC, Ramganj , Laxmipur",Laxmipur Sadar,
,6,"Lamchar Union Sub Center , Ramganj , Laxmipur",16,"AmaniLaxmipur USC, Laxmipur Sadar, Laxmipur"
,7,"Shah Shaheb Union Sub Center , Ramganj , Laxmipur",17,"Bhabaniganj Union Sub Center , Sadar , Laxmipur"
,8,"Shorshai UH&FWC, Ramganj , Laxmipur",18,"Bijoy Nagar Union Sub Center , Sadar , Laxmipur"
,Ramgati,,19,"Dattapara Union Sub Center , Sadar , Laxmipur"
,9,"Char Alexander Union Sub Center , Ramgati , Laxmipur",20,"Hajirpara Union Sub Center , Sadar , Laxmipur"
,10,"Char Kalkini UH&FWC, Ramgati , Laxmipur",21,"Rasulgonj Union Sub Center , Sadar , Laxmipur"
,11,"Char Ramiz UH&FWC, Ramgati , Laxmipur",22,"Rupchhara Union Sub Center , Sadar , Laxmipur"
,RAJSHAHI DIVISION,,,
,Rajshahi District,,,
,,Puthia,2,"Dasmaria Union Sub Center , Puthia , Rajshahi"
,1,"Bhalukgachi Union Sub Center , Puthia , Rajshahi",3,"Gopalpara Union Sub Center , Putia , Rajshahi"
