0,1,2,3,4,5,6,7,8,9,10,11
,,Year 2001,,,,,,,,Year 2005,
,,,,Year 2002,,Year 2003,,Year 2004,,,
Sl.,,,,,,,,,,,
,Name of Division,,,,,,,,,,
No.,,Attack,Death,Attack,Death,Attack,Death,Attack,Death,Attack,Death
,,,,,,,,,,,
1,Barisal Division,3,0,54,0,0,0,8,0,0,0
2,Chittagong Division,9,0,92,0,21,1,9,0,2,0
3,Dhaka Division,2344,44,5859,49,450,9,3875,13,1033,4
4,Khulna Division,74,0,122,9,15,0,41,0,11,0
5,Rajshahi Division,0,0,4,0,0,0,1,0,2,0
6,Sylhet Division,0,0,1,0,0,0,0,0,0,0
All Divisions,,2430,44,6132,58,486,10,3934,13,1048,4
