0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Sl No.,,,"Name of Institution &
Location",,,No. of X-Ray Machine,,,,,,,,,,,,,,,Remarks,,
,,,,,,Total,,,Servicable (mA),,,,Unservicable,,Repairable (mA),,,,Non-repairable,,,,
,,,,,,,,,,,,,(mA),,,,,,(mA),,,,
,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,
,,,,,,,,,"20 M.A 1
10 M.A 1",,,,,,,,,,,,,,
9,,,"Sadar Hospital, Shoriyatpur",,,02,,,"02
300 M.A 1 100 M.A 1",,,-,,,-,,,,,,,,
10,,,"100 bedded Hospital,
Narshingdi (New)",,,02,,,"02
300 M.A 1
100 M.A 1",,,-,,,-,,,,,,,,
11,,,"General Hospital, Narshingdi
(Old)",,,03,,,"03
500 M.A 1
300 M.A 1
100 M.A 1",,,-,,,-,,,,,,,,
12,,,"Sadar Hospital, Kishoregonj",,,03,,,"01
300 M.A 1",,,"02
150 M.A 1
30 M.A 1",,,"02
150 M.A 1
30 M.A 1",,,,,,,,
13,,,"General Hospital, Tangail",,,04,,,"02
500 M.A 1
100 M.A 1",,,"02
100 M.A 1",,,1,,,100 M.A 1,,,,,
14,,,"Sadar Hospital, Rajbari",,,03,,,"03
500 M.A 1, 300 M.A
1, 100 M.A 1",,,,,,,,,,,,,,
15,,,"Sadar Hospital, Munshigonj",,,02,,,"01
300 M.A 1",,,"01
100 - 1",,,"01
100 M.A 1",,,,,,,,
16,,,"Sadar Hospital, Netrokona",,,02,,,"01
100 HjH 1",,,"01
100 - 1",,,"01
100 M.A 1",,,,,,,,
17,,,"Sadar Hospital, Gopalgonj",,,02,,,"02
100 M.A 1
20 M.A 1",,,-,,,-,,,,,,,,
18,,,"General Hospital, Pabna",,,04,,,"02
300 M.A 1
60 M.A 1",,,"02
300 M.A -1
60 M.A -1",,,"01
38 M.A -1",,,"01
300 M.A",,,"Though 60 are
serviceable,repai
r is necessary,
38 tubes are to
be changed but",,
