0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,DHAKA DIVISION,,,
,Dhaka District,,,
,Dhamrai,,Dohar,
,1,"Amta Union Sub Center , Dhamrai , Dhaka",11,"Malikanda(narisha) Union Sub Center, Dohar, Dhaka"
,2,"Baleswar(sutipara) USC , Dhamrai , Dhaka",12,"Muksudpur Union Sub Center , Dohar , Dhaka"
,3,"Balia Union Sub Center , Dhamrai , Dhaka",Savar,
,4,"Gangutia Union Sub Center , Dhamrai , Dhaka",13,"Aminbazar Union Sub Center , Savar , Dhaka"
,5,"Mohishashi(sanora) USC , Dhamrai , Dhaka",14,"Birulia Union Sub Center , Savar , Dhaka"
,6,"Simulia(Bhararia) USC , Dhamrai , Dhaka",Keraniganj,
,7,"Suapur Union Sub Center , Dhamrai , Dhaka",15,"Falatia UH&FWC , Keraniganj , Dhaka"
,Nawabganj,,16,"Hazratpur Union Sub Center , Keraniganj , Dhaka"
,8,"Barua Khali Union Sub Center, Nawabganj",17,"Talepur Union Sub Center , Keraniganj , Dhaka"
,9,"Churain Union Sub Center , Nawabganj , Dhaka",18,"Teguria Union Sub Center , Keraniganj , Dhaka"
,10,"Nawabganj Union Sub Center , Nawabganj , Dhaka",,
,Narayanganj District,,,
,Sonargaon,,Araihazar,
,1,"Bhattapur(aminpur) USC , Sonargaon , Narayanganj",7,"Brahmandi USC, Araihazar , Narayanganj"
,2,"Baradi Union Sub Center , Sonargaon , Narayanganj",8,"Chaitankanda USC, Araihazar , Narayanganj"
,3,"Hosainpur USC , Sonargaon , Narayanganj",9,"Haizadi Union Sub Center , Araihazar , Narayanganj"
,Rupganj,,10,"Kalapaharia USC, Araihazar , Narayanganj"
,4,"Bhulta Union Sub Center , Rupganj , Narayanganj",11,"Satgram Union Sub Center , Araihazar , Narayanganj"
,5,"Rupgonj Union Sub Center , Rupganj , Narayanganj",12,"Satgram UH&FWC, Araihazar , Narayanganj"
,Bandar,,Narayanganj Sadar,
,6,"Madanpur Union Sub Center , Bandar , Narayanganj",13,"Sharifunnesa USC , Narayanganj Sadar,Narayanganj"
,Munshiganj District,,,
,Serajdikhan,,Gazaria,
,1,"Basail Union Sub Center , Serajdikhan , Munshiganj",15,"Hossaindi Union Sub Center , Gazaria , Munshiganj"
,2,"Kola Union Sub Center , Serajdikhan , Munshiganj",16,"Rasulpur Union Sub Center , Gazaria , Munshiganj"
,3,"Madhyapara USC , Serajdikhan , Munshiganj",Sreenagar,
,4,"Pauldia(bayragadi) USC , Serajdikhan , Munshiganj",17,"Bhagyakul Union Sub Center, Sreenagar, Munshiganj"
,5,"Raja Nagar(2) USC , Serajdikhan , Munshiganj",18,"Hasara Union Sub Center , Sreenagar , Munshiganj"
,6,"Raja Nagar(3) USC , Serajdikhan , Munshiganj",19,"Sreenagar Union Sub Center, Sreenagar, Munshiganj"
,7,"Sekhar Nagar USC , Serajdikhan , Munshiganj",Tungibari,
,8,"Serajdikhan(rasunia) USC , Serajdikhan , Munshiganj",20,"Dhipur Union Sub Center , Tungibari , Munshiganj"
,Louhajang,,21,"Hat Baligaon USC, Tongibari , Munshiganj"
,9,"Dugachi(kumarbhog) USC , Louhajang , Munshiganj",22,"Jashalong Union Sub Center , Tungibari , Munshiganj"
,10,"Haldia Union Sub Center , Louhajang , Munshiganj",23,"Mulchar Union Sub Center , Tungibari , Munshiganj"
,11,"Kanakshar Union Sub Center, Louhajang, Munshiganj",24,"Tungibari Union Sub Center , Tungibari , Munshiganj"
,12,"Kazirpagla Union Sub Center, Louhajang, Munshiganj",Munshiganj Sadar,
,Gazaria,,25,"Bajrajogini Union Sub Center , Sadar , Munshiganj"
,13,"Bhaberchar Union Sub Center , Gazaria , Munshiganj",26,"Char Dumoria Union Sub Center , Sadar ,
Munshiganj"
,14,"Gazaria Union Sub Center , Gazaria , Munshiganj",27,"Char Dumoria Union Sub Center , Sadar, Munshiganj"
,Manikganj District,,,
,Shibalaya,,,
,1,"Maluchi Union Sub Center , Shibalaya , Manikganj",3,"Shibalaya Union Sub Center , Shibalaya , Manikganj"
,2,"Mohadebpur Union Sub Center, Shibalaya, Manikganj",4,"Teota Union Sub Center , Shibalaya , Manikganj"
