0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,,Kachua,,Sarankhola
,8,"Goalmath(Raipara) USC, Kachua, Bagerhat",11,"Tafalbari(Southkhal) USC, Sarankhola, Bagerhat"
,9,"Maghia Union Sub Center , Kachua , Bagerhat",,Bagerhat Sadar
,,Rampal,12,"Bishnupur Union Sub Center , Sadar , Bagerhat"
,10,"Rampal Union Sub Center , Rampal , Bagerhat",13,"Jatrapur Union Sub Center , Sadar , Bagerhat"
,Satkhira District,,,
,Kaliganj,,4,"Nalta Union Sub Center , Kaliganj , Satkhira"
,1,"Banshtala Union Sub Center , Kaliganj , Satkhira",Tala,
,2,"Dhalbaria Union Sub Center , Kaliganj , Satkhira",5,"Islamkati Union Sub Center , Tala , Satkhira"
,3,"kaliganj(Kushlia) Union Sub Center , Kaliganj , Satkhira",6,"Parkumira(Sarulia) USC, Tala , Satkhira"
,Debhatta,,Satkhira Sadar,
,7,"Bohera(Kulia) Union Sub Center , Debhatta , Satkhira",9,"Labsa Union Sub Center , Satkhira Sadar , Satkhira"
,8,"Debhata Union Sub Center , Debhatta , Satkhira",,
,Jessore District,,,
,Keshabpur,,Abhoynagar,
,1,"Panjia Union Sub Center , Keshabpur , Jessore",12,"Baghutia Union Sub Center , Abhoynagar , Jessore"
,Chowgacha,,13,"Siddipasha Union Sub Center , Abhoynagar , Jessore"
,2,"Jagadishpur Union Sub Center , Chowgacha , Jessore",14,"Sreedharpur USC, Abhoynagar , Jessore"
,3,"Narayanpur Union Sub Center , Chowgacha , Jessore",Jhikargacha,
,4,"Pashapole Union Sub Center , Chowgacha , Jessore",15,"Amrita Bazar(Magura) USC , Jhikargacha , Jessore"
,5,"Sukpukuria Union Sub Center , Chowgacha , Jessore",16,"Bankra Union Sub Center , Jhikargacha , Jessore"
,Sarsa,,17,"Ganganandanpur USC, Jhikargacha , Jessore"
,6,"Bagachra Union Sub Center , Sarsa , Jessore",Monirampur,
,7,"Chalitabaria(Keyba) Union Sub Center , Sarsa , Jessore",18,"Nehalpur Union Sub Center , Monirampur , Jessore"
,8,"Lakxmanpur Union Sub Center , Sarsa , Jessore",19,"Rajgonj(Jhanpa) USC, Monirampur , Jessore"
,9,"Samta(Ulashi) Union Sub Center , Sarsa , Jessore",Jessore Sadar,
,10,"Sharsha Union Sub Center , Sarsa , Jessore",20,"Jangal Bandhal(Basundia) USC , Sadar , Jessore"
,Bagerpara,,21,"Lebutala Union Sub Center , Jessore Sadar , Jessore"
,11,"Bhitabilla(Jamdia) USC , Bagerpara , Jessore",22,"Shakhargati(Narendrapur) USC , Sadar , Jessore"
,Narail District,,,
,Kalia,,4,"Singasolpur Union Sub Center , Narail Sadar , Narail"
,1,"Amritanagar(Joynagar) Union Sub Center, Kalia, Narail",Lohagara,
,Narail Sadar,,5,"Itna Union Sub Center , Lohagara , Narail"
,2,"Gobra(Kalora) Union Sub Center , Narail Sadar , Narail",6,"Joypur(noagram) USC, Lohagara , Narail"
,3,"Mirjapur(Bichhali) USC , Narail Sadar , Narail",7,"Lahuria Union Sub Center , Lohagara , Narail"
,Jhenaidah District,,,
,Sailkupa,,Moheshpur,
,1,"Hat Fazilpur(Abaipur) USC, Sailkupa , Jhenaidah",7,"Jadabpur Union Sub Center , Moheshpur , Jhenaidah"
,2,"Kachua Bazar(Dudsar) USC , Sailkupa , Jhenaidah",8,"Mandarbaria USC, Moheshpur , Jhenaidah"
,Kaliganj,,9,"Shyamkur Union Sub Center , Moheshpur , Jhenaidah"
,3,"Barobazar Union Sub Center , Kaliganj , Jhenaidah",10,"Talshar Union Sub Center , Moheshpur , Jhenaidah"
,4,"Balarampur(Niamotpur) USC , Kaliganj , Jhenaidah",Kotchandpur,
,Jhenaidah Sadar,,11,"Jaydia(Sabdalpur) USC, Kotchandpur, Jhenaidah"
,5,"Harishankarpur USC , Jhenaidah Sadar , Jhenaidah",12,"Panchlia(Dora) USC , Kotchandpur , Jhenaidah"
,6,"Sadhuhati Union Sub Center , Sadar , Jhenaidah",13,"Talshar(Kushna) USC , Kotchandpur , Jhenaidah"
,Magura District,,,
,,Mohammadpur,,Magura Sadar
,1,"Binodepur Union Sub Center, Mohammadpur, Magura",4,"Alokdia Union Sub Center , Magura Sadar , Magura"
,2,"Digha Union Sub Center , Mohammadpur , Magura",5,"Chandpur Union Sub Center , Magura Sadar , Magura"
,3,"Nohata Union Sub Center , Mohammadpur , Magura",6,"Hazipur Union Sub Center , Magura Sadar , Magura"
