0,1,2,3
,,Date of,Allotment
Sl. No.,Name of the Institute & address,,
,,approval,of seats
,,,
1,"Pioneer Dental College, Malibagh, DIT Road, Dhaka.",20/04/1995,70
2,"City Dental College. 1085/1, Malibagh Choudhurypara, Dhaka.",03/01/1996,50
3,"University Dental College,120, Sideswari Outer Circular Road, Century
Orchard, Dhaka.",10/08/1999,50
4,"Bangladesh Dental College, Road #14/A,Dhanmondi Residential Area, Dhaka.",18/02/1997,50
5,"Saporro Dental College, Plot #12, Road #1/B, Sector #9, Uttara Model Town,
Dhaka.",02/11/2002,50
6,"Samaj Vitik Dental College, Mirzanagar, Savar, Dhaka.",05/07/2004,50
7,"Rangpur Dental College, Rangpur",28/06/2001,50
8,"Chittagong International Dental College, Chittagong",14/05/2005,30
Total,,,400
