0,1,2,3,4,5,6,7,8,9
,Chest Clinics,,,,,,,,
,,Dhaka Division,,,,,Rajshahi Division,,
1,,"Dhaka Chest Taining Center , Dhaka",,6,,,"Natore Chest Clinic , Natore",,
2,,"Faridpur Chest Clinic , Faridpur",,7,,,"Pabna Chest Clinic , Pabna",,
3,,"Gopalganj Chest Clinic , Gopalganj",,8,,,"Rajshahi Chest Clinic , Rajshahi",,
4,,"Jamalpur Chest Clinic , Jamalpur",,9,,,"Rangpur Chest Clinic , Rangpur",,
5,,"Kishoreganj Chest Clinic , Kishoreganj",,10,,,"Serajganj Chest Clinic , Serajganj",,
6,,"Madaripur Chest Clinic , Madaripur",,11,,,"Thakurgaon Chest Clinic ,Thakurgaon",,
7,,"Munshiganj Chest Clinic , Munshiganj",,,,,Khulna Division,,
8,,"Mymensingh Chest Clinic , Mymensingh",,1,,,"Bagerhat Chest Clinic , Bagerhat",,
9,,"National TB Control Project, Shyamoli, Dhaka",,2,,,"Chuadanga Chest Clinic , Chuadanga",,
10,,"Tangail Chest Clinic ,Tangail",,3,,,"Jessore Chest Clinic , Jessore",,
,,Chittagong Division,,4,,,"Khulna Chest Clinic , Khulna",,
1,,"B.baria Chest Clinic , B.baria",,5,,,"Kushtia Chest Clinic , Kushtia",,
2,,"Chandpur Chest Clinic , Chandpur",,6,,,"Magura Chest Clinic , Magura",,
3,,"Chittagong Chest Clinic , Chittagong",,7,,,"Meherpur Chest Clinic , Meherpur",,
4,,"Comilla Chest Clinic , Comilla",,8,,,"Satkhira Chest Clinic , Satkhira",,
5,,"Coxs Bazar Chest Clinic , Coxs Bazar",,,,,Barisal Division,,
6,,"Feni Chest Clinic , Feni",,1,,,"Barisal Chest Clinic , Barisal",,
7,,"Noakhali Chest Clinic , Noakhali",,2,,,"Bhola Chest Clinic , Bhola",,
8,,"Rangamati Chest Clinic , Rangamati",,3,,,"Patuakhali Chest Clinic , Patuakhali",,
,,Rajshahi Division,,4,,,"Perojpur Chest Clinic , Perojpur",,
1,,"Bogra Chest Clinic , Bogra",,,,,Sylhet Division,,
2,,"Chapai Nawabganj Chest Clinic , Chapai
Nawabganj",,1,,,"M.bazar Chest Clinic , M.bazar",,
3,,"Dinajpur Chest Clinic , Dinajpur",,2,,,"Sunamganj Chest Clinic , Sunamganj",,
4,,"Gaibandha Chest Clinic , Gaibandha",,3,,,"Sylhet Chest Clinic , Sylhet",,
5,,"Kurigram Chest Clinic , Kurigram",,,,,,,
,Leprosy Hospitals,,,,,,,,
1,,"Dhaka Leprosy Hospital , Dhaka",,3,,,"Sylhet Leprosy Hospital , Sylhet",,
2,,"Nilphamari Leprosy Hospital , Nilphamari",,,,,,,
