0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Record Keeper,12,9,0,9,3
Registration Clark,1,0,0,0,1
Rent Collector,6,6,0,6,0
Statistician,1,1,0,1,0
Store Asstt.,9,7,1,8,1
Store Clerk,20,13,4,17,3
Store Keeper,13,10,0,10,3
Supervisor,1,1,0,1,0
T.B. Control Asstt.,1,1,0,1,0
Tailor,3,0,2,2,1
Taxidormist,6,5,0,5,1
Technical Asstt.,5,4,1,5,0
Technician,2,2,0,2,0
Telephone Operator,87,62,17,79,8
Ticket Clerk,22,13,6,19,3
Typist,3,2,1,3,0
Typist Cum Clerk,1,1,0,1,0
Veterinary Asstt.,2,1,0,1,1
Ward Master,84,68,0,68,16
Welder,1,1,0,1,0
Sub-Total :,"25,068","13,577","5,626","19,203","5,865"
Scale : 17 (2850-130*7-3760-150*11-5410),,,,,
Asstt. Rent Collector,2,2,0,2,0
Auto Clave Operator,2,2,0,2,0
Cane Expert,1,1,0,1,0
Carpenter,4,1,0,1,3
Cash Sarker,13,13,0,13,0
Cinema Operator,1,1,0,1,0
Cutler,2,1,0,1,1
Elect/Mec/Liftman,46,40,0,40,6
Epidascope Operator,7,6,0,6,1
Equipment Operator,1,1,0,1,0
Fitter Mistry,5,4,0,4,1
Fumigator,4,4,0,4,0
Instrument C.T.,6,6,0,6,0
Jr. Machanic,441,329,0,329,112
Kitchen Supervisor,1,1,0,1,0
Lady Health Visitor,3,0,1,1,2
Lielen Keeper,1,1,0,1,0
Machanic Supervisor,1,1,0,1,0
Machine Driver,1,1,0,1,0
Master Tailor,1,1,0,1,0
Museum Attendent,1,1,0,1,0
Nursing Attendent,4,4,0,4,0
O.T. Attendent,2,2,0,2,0
Projectionist,5,3,1,4,1
