0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Sr. Technician,10,4,0,4,6
Staff Nurse,"1,977",165,"1,697","1,862",115
Sub Asstt. Engineer,16,10,1,11,5
Sub Asstt. Surgeon,2,0,0,0,2
Surgical Technician,9,7,0,7,2
Technician,10,8,0,8,2
Trained Technician,4,0,0,0,4
Tutor,48,28,1,29,19
Workshop Supdt.,18,18,0,18,0
X-Ray Technician,1,1,0,1,0
Sub-Total :,"24,664","7,085","11,687","18,772","5,892"
Scale : 12 (3700-230*7-5310-250*11-8060),,,,,
Asstt. Chemist,5,3,2,5,0
Asstt. Librarian,2,0,1,1,1
Audio Visual Operator,60,49,0,49,11
Chief Mechanic,55,46,0,46,9
Epi Supervisor,64,56,1,57,7
Librarian,1,1,0,1,0
Sr. Artist,1,0,0,0,1
Sr. Technical Asstt.,7,7,0,7,0
Supervisor,5,5,0,5,0
Workshop Supervisor,2,1,0,1,1
Sub-Total :,202,168,4,172,30
Scale : 13 (3500-210*7-4970-230*11-7500),,,,,
Accountant,6,5,0,5,1
Auditor,4,4,0,4,0
Chief ENT Technician,1,1,0,1,0
Computer Operator,1,1,0,1,0
Computer Technician,1,1,0,1,0
Dietician,5,2,1,3,2
Hakim,3,0,0,0,3
Head Asstt.,139,132,1,133,6
Head Asstt. Cum Accountant,7,6,0,6,1
Health Supdt.,5,1,0,1,4
Jr. Technical Asstt.,3,3,0,3,0
Lab. Instructor,4,3,1,4,0
Office Supdt.,4,3,0,3,1
Sanitary Inspector,9,4,1,5,4
Sr. Accountant,1,0,0,0,1
Sr. Mechanic,5,5,0,5,0
Sr. Store Keeper,1,0,0,0,1
Sr. Technician,9,5,1,6,3
Statistical Asstt.,1,1,0,1,0
Stenographer,56,41,5,46,10
Steward,4,2,0,2,2
Sub-Total :,269,220,10,230,39
