0,1,2,3,4,5
Grade,,No. of,,No. of,
,Level,,Cadre Post(Regular),,Cadre Post(Temporary)
No.,,Posts,,Posts,
,,,,,
1,2,3,4,5,6
,,,,1,"Joint Director – NITOR,NIDCH"
,"Superintendent
(IPGM&R)",1,,,
,Professor,190,"182 (Including Old IPGMR-34)+ 8
Dental",64,
,Professor,9,,126,"5 MC- 110, NICH&R-5,
NIKDU-6, NIMH&R-5,"
,Chief Scientific Officer,4,,,
,OSD/Leave Reserve,9,,,
Total,,256,,217,
4,Deputy Director,25,"Administration, Personnel-1, HMPD,
M&PDC, Finance, Medical
Education, CDC, EPI, CMSD-(2),
PHC, MBDC, HOSP, IPH, IPHN,
RIHD, MCH-(8), Chief-(HIU)",16,"Personnel-II, Discipline,
Management Information
System(MIS), Homeo, Audit,
Medical Assistant, Planning &
Research, Hospital-2, MBDC, ORS,
National Institute of Cardiovascular
Diseases (NICVD), Division-5,
NIMH&R, NIKDU,"
,Deputy Director,7,"DGHS(2), Division (5)",2,"NIKDU, NIMH&R"
,Associate Professor,230,"223 (Including IPGMR-30), 7 Dental",86,
,Associate Professor,55,,147,"5 MC- , NIKDU- ,
NIMH&R, NICH&R- ,"
,"Principal (IHT, MATS)",10,"10 (2 IHT, 8 MATS)",,
,"Superintendent/ Deputy
Superintendent",2,"NIO, IPGMR(OLD)",4,"200 Beded Hospital, Narayanganj,
250 Beded Hospital, Faridpur,
Comilla & Khulna, General
Hospital"
,"Principal Scientific
Officer, IEDCR",4,,2,
,Chief Physician,,,2,
,Head (IPH),2,"2 (Microbiology, Lab)",,
,OSD/Leave Reserve,11,,,
Total,,346,,259,
5,Assistant Director,37,"Personnel-1, Personnel-II, Personnel-3,
Administration-1, Legal, Cord, Hospital-1,
MBDC, Budget, Accounts, Audit,
PHC/ITHC, Industrial Health, SHC,
Medical Education, HMPD, CDC,
MN&PDC, CMRL, 2X Assessment Team,
Leprosy, TBC Tuberculosis, (Admn),
EPI(Sur), Procurement-1, Procurement-2,
Maintenance, Port-Clear, 8XDirector
Division, IPH, Deputy Chief (Medical)",20,"Personnel-4, Health Information Unit
(HIU), Assesment-3, Planning-1,
Research, Environmental-Health,
Hospital-2, Hospital-3, Medical
Education, Homeo, Admn-2, Discipline-
1, Discipline-2, Audit-2, P. Cord,
Annual Confidential Report (ACR),
Medical Assistant MSD-Rajshahi"
,Assistant Director,24,"DGHS(7), MCH(8x2), Barisal Division",,
,Civil Surgeon,65,,,
,Senior Lecturer,8,Medical Assistant Training School-8,,
,"Superintendent/ Medical
Superintendent",25,"Mental, 3 X TB Hospital (Khulna,
Rajshahi, Chittagong) IDCH, 4 X IPH
(PCV, IVF, TVTP, V.Lab), TB. Trg. Instt.
Off. in. Charge, Sr. Phy(TB), Divisional
Chief (Medicine), Epidemiologist,
Virologist, 2 X Nutritionist (Applied
Clinical), Air port Health Officer, Port
Health Officer (Chittagong & Rajshahi),
Bacteriologist, 2 X Manager MSD
(Chittagong & Khulna)",2,"Sarkari Karmachari Hospital.
Manager MSD Rajshahi."
,Sr. Consultant,145,122,89,
,Senior Consultant,105,,,
,OSD/Leave Reserve,11,,,
Total,,420,,111,
6,Assistant Professor,228,183 (including IPGMR-53)+ 18 (Dental),162,"NITOR & Other-16, Neuro Medicine &
Surgery-16"
,Assistant Professor,119,,180,"5 MC- 145, NIKDU- 12,
NICH&R- 6, NIMH&R- 17"
