0,1,2,3,4
Union Sub Centers (USC) And UH&FWC,,,,
,Chapi Nawabganj District,,,
,Gomastapur,,10,"Sundarpur USC, Sadar , Chapi Nawabganj"
,1,"Bhagabari UH&FWC, Gomastapur, Chapi Nawabganj",Shibganj,
,2,"Choudala USC, Gomastapur, Chapi Nawabganj",11,"Binodpur UH&FWC, Shibganj, Chapi Nawabganj"
,3,"Gomostapur USC, Gomastapur, C. Nawabganj",12,"Chakkirti USC, Shibganj , Chapi Nawabganj"
,Bholahat,,13,"Dhainagar USC, Shibganj , Chapi Nawabganj"
,4,"Bholahat USC , Bholahat , Chapi Nawabganj",14,"Kansat USC, Shibganj, Chapi Nawabganj"
,Nawabganj Sadar,,15,"Manakasha USC, Shibganj , Chapi Nawabganj"
,5,"Baliadanga Union Sub Center, Sadar, Chapi Nawabganj",16,"Namotikoir USC, Shibganj , Chapi Nawabganj"
,6,"Debinagar Union Sub Center, Sadar, Chapi Nawabganj",17,"Ranihati USC, Shibganj, Chapi Nawabganj"
,7,"Gobratola Union Sub Center, Sadar, Chapi Nawabganj",18,"Sahabajpur USC, Shibganj , Chapi Nawabganj"
,8,"Moharajpur USC, Sadar, Chapi Nawabganj",19,"Satrajitpur UH&FWC, Shibganj, Chapi Nawabganj"
,9,"Namosankarbati USC , Sadar , Chapi Nawbganj",20,"Trimohoni USC, Shibganj , Chapi Nawabganj"
,Natore District,,,
,Singra,,Bagatipara,
,1,"Chowgram Union Sub Center , Singra , Natore",9,"Zamnagar Union Sub Center , Bagatipara , Natore"
,2,"Dangapara Union Sub Center , Singra , Natore",Gurudashpur,
,3,"Hulhulia Union Sub Center , Singra , Natore",10,"Kachikata Union Sub Center , Gurudashpur , Natore"
,4,"Kaliganj Union Sub Center , Singra , Natore",11,"Nazirpur Union Sub Center , Gurudashpur , Natore"
,Lalpur,,Natore Sadar,
,5,"Bilmaria Union Sub Center , Lalpur , Natore",12,"Khajuria Union Sub Center , Natore Sadar , Natore"
,6,"Walia Union Sub Center , Lalpur , Natore",13,"Madhnagar Union Sub Center, Natore Sadar, Natore"
,Baraigram,,14,"Nasratpur(Bipra Belgharia) USC, Sadar , Natore"
,7,"Dhanaidah Union Sub Center , Baraigram , Natore",15,"Rani Brajasundary USC, Sadar , Natore"
,8,"Joari Union Sub Center , Baraigram , Natore",,
,Bogra District,,,
,Shibganj,,Bogra Sadar,
,1,"Bhagkhola Union Sub Center , Shibganj , Bogra",20,"Burigonj(Namuza) Union Sub Center , Sadar , Bogra"
,2,"Ganganagar(Sayedpur) UH&FWC, Shibganj, Bogra",21,"Gokul Union Sub Center , Bogra Sadar , Bogra"
,3,"Maindanhat UH&FWC, Shibganj, Bogra",22,"Hazardighi(Nungola) USC, Sadar , Bogra"
,4,"Mokamtala UH&FWC, Shibganj, Bogra",23,"Mothergonj Union Sub Center , Bogra Sadar , Bogra"
,5,"Pirab UH&FWC, Shibganj, Bogra",24,"Nawdapara(Nashindara) USC, Sadar, Bogra"
,,Sariakandi,,Sherpur
,6,"HatFulbari Union Sub Center , Sariakandi , Bogra",25,"Bhabanipur Union Sub Center , Sherpur , Bogra"
,7,"Hatsherpur Union Sub Center , Sariakandi , Bogra",26,"Garidaha(Kalsimati) UH&FWC, Sherpur, Bogra"
,8,"Jorgacha(Bhalabari) USC , Sariakandi , Bogra",27,"Kusumbi(Altadighi) UH&FWC, Sherpur, Bogra"
,9,"Nawkhila Union Sub Center , Sariakandi , Bogra",28,"Pachual(bishalpur) UH&FWC, Sherpur, Bogra"
,,Dhupchachia,29,"Shimabari Union Sub Center , Sherpur , Bogra"
,10,"Gunahar Union Sub Center , Dhupchachia , Bogra",30,"Sughat(Joylajowan) UH&FWC, Sherpur, Bogra"
,,Shajahanpur,,Kahaloo
,11,"Damajani(Amrul) USC, Shajahanpur , Bogra",31,"Durgapur Union Sub Center , Kahaloo , Bogra"
,12,"Madla Union Sub Center , Shajahanpur, Bogra",32,"Malancha Union Sub Center , Kahaloo , Bogra"
,,Gabtali,33,"Narhatta Union Sub Center , Kahaloo , Bogra"
,13,"Agunatirhat UH&FWC, Gabtali, Bogra",34,"Pilkunja Union Sub Center , Kahaloo , Bogra"
,14,"Durgahata Union Sub Center , Gabtali , Bogra",,Adamdighi
,15,"Kolakopa(baliadighi) Union Sub Center, Gabtali, Bogra",35,"Champapur(Kanchanpur) USC , Adamdighi , Bogra"
,16,"Nashipur Union Sub Center , Gabtali , Bogra",36,"Chatingram Union Sub Center , Adamdighi , Bogra"
,17,"Rameshwarpur Union Sub Center , Gabtali , Bogra",37,"Kundagram Union Sub Center , Adamdighi , Bogra"
,18,"Sonarai Union Sub Center , Gabtali , Bogra",38,"Murail(nasaratpur) USC, Adamdighi, Bogra"
,19,"Sukhanpukur UH&FWC, Gabtali, Bogra",39,"Santahar Union Sub Center , Adamdighi , Bogra"
