0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
"Sl.
No.",,,"Name of Health Institution/ Health
Complex/ Hospital",,,"Number of
Ambulance (If
not available
mark as nil) To
be specified",,,"If under T&E or
not & T&E No.",,,"Functio
ning",,,"Non-
Functioni
ng",,,"If not functioning; from which
date & whether repairable or
not. If repairable, what
measures taken & if not
repairable whether condemn
declared or not",,Remarks,,
,1,,,2,,,3,,,4,,,5,,,6,,7,,,8,
,,,,,,,,,,,,,,,,,,,,"ambulance in
this hospital.",,
49,,,"Sadar Hospital, Feni",,,6,,,Not under T&E,,,1,,,5,,,"1 is in Temo, remaining 4 are
unserviceable",,,,
50,,,"Sadar Hospital, Bandarban",,,3,,,-,,,1,,,2,,,-,,,,
51,,,"Sadar Hospital, Cox’sbazar",,,2,,,Under T&E,,,1,,,1,,,"Demand has been placed for
necessary fund",,,,
52,,,"Sadar Hospital, Jhalkathi",,,1,,,-,,,1,,,,,,-,,,,
53,,,"Sadar Hospital, Borguna",,,2,,,-,,,2,,,,,,-,,,,
54,,,"Sadar Hospital, Bhola",,,2,,,-,,,1,,,1,,,-,,,,
55,,,"Sadar Hospital, Pirojpur",,,2,,,Not under T&E,,,1,,,1,,,Under process for repairing,,,,
56,,,"Sadar Hospital, Barisal",,,2,,,-,,,1,,,1,,,-,,,,
57,,,"General Hospital, Potuakhali",,,2,,,Not under T&E,,,1,,,1,,,"Mitsubishi is unserviceable
from 25/03/2003. Authority
informed for repairing",,,,
58,,,"Modernized Sadar Hospital, Hobigonj",,,2,,,-,,,1,,,1,,,-,,,,
59,,,"Sadar Hospital, Sylhet",,,1,,,-,,,1,,,,,,-,,,,
60,,,"Sadar Hospital, Moulovibazar",,,3,,,-,,,1,,,2,,,-,,,,
61,,,"Sadar Hospital, Shunamgonj",,,5,,,Under T&E - 5,,,-,,,5,,,"Necessary action taken for
auction – 3 & 2 under process
to repair",,,,
