0,1,2,3
Upazila Health Complexes,,,
6,"Thanchi Upazila Health Complex , Bandarban",4,"Kachua Upazila Health Complex , Chandpur"
,Chandpur,,Laxmipur
5,"Matlab Upazila Health Complex , Chandpur",2,"Ramgati Upazila Health Complex , Laxmipur"
6,"Matlab (Uttar) Upazila Health Complex , Chandpur",3,"Raipur Upazila Health Complex , Laxmipur"
7,"Saharasthi Upazila Health Complex , Chandpur",,B.baria
,Noakhali,1,"Akhaura Upazila Health Complex , B.baria"
1,"Begumganj Upazila Health Complex , Noakhali",2,"Ashuganj Upazila Health Complex , B.baria"
2,"Chatkhil Upazila Health Complex , Noakhali",3,"Bancharampur Upazila Health Complex , B.baria"
3,"Companiganj Upazila Health Complex , Noakhali",4,"Kashba Upazila Health Complex , B.baria"
4,"Hatiya Upazila Health Complex , Noakhali",5,"Nabinagar Upazila Health Complex , B.baria"
5,"Senbag Upazila Health Complex , Noakhali",6,"Nasirnagar Upazila Health Complex , B.baria"
6,"Sonaimuri Upazila Health Complex , Noakhali",7,"Sarail Upazila Health Complex , B.baria"
,Khagrachari,,Rangamati
1,"Dighinala Upazila Health Complex , Khagrachari",1,"Bagaichari Upazila Health Complex , Rangamati"
2,"Laxmichari Upazila Health Complex , Khagrachari",2,"Barkol Upazila Health Complex , Rangamati"
3,"Manikchari Upazila Health Complex , Khagrachari",3,"Belaichari Upazila Health Complex , Rangamati"
4,"Matiranga Upazila Health Complex , Khagrachari",4,"Jhuraichari Upazila Health Complex , Rangamati"
5,"Mohalchari Upazila Health Complex , Khagrachari",5,"Kaptai Upazila Health Complex , Rangamati"
6,"Panchari Upazila Health Complex , Khagrachari",6,"Kowkhali Upazila Health Complex , Rangamati"
7,"Ramgarh Upazila Health Complex , Khagrachari",7,"Langadu Upazila Health Complex , Rangamati"
,Laxmipur,8,"Naniarchar Upazila Health Complex , Rangamati"
1,"Ramganj Upazila Health Complex , Laxmipur",9,"Rajstali Upazila Health Complex , Rangamati"
Rajshahi Division,,,
,Rajshahi,,Chapi Nawabganj
1,"Bagmara Upazila Health Complex , Rajshahi",1,"Bholahat Upazila Health Complex , Chapi Nawabganj"
2,"Bogha Upazila Health Complex , Rajshahi",2,"Gomastapur Upazila Health Complex , Chapi Nawabganj"
3,"Charghat Upazila Health Complex , Rajshahi",3,"Nachol Upazila Health Complex , Chapi Nawabganj"
4,"Durgapur Upazila Health Complex , Rajshahi",4,"Shibganj Upazila Health Complex , Chapi Nawabganj"
5,"Godagari Upazila Health Complex , Rajshahi",,Natore
6,"Mohanpur Upazila Health Complex , Rajshahi",1,"Bagatipara Upazila Health Complex , Natore"
7,"Paba Upazila Health Complex , Rajshahi",2,"Baraigram Upazila Health Complex , Natore"
8,"Puthia Upazila Health Complex , Rajshahi",3,"Gurudashpur Upazila Health Complex , Natore"
9,"Tanore Upazila Health Complex , Rajshahi",4,"Lalpur Upazila Health Complex , Natore"
,Kurigram,5,"Singra Upazila Health Complex , Natore"
1,"Bhurungamari Upazila Health Complex , Kurigram",,Thakurgaon
2,"Chilmari Upazila Health Complex , Kurigram",1,"Baliadangi Upazila Health Complex , Thakurgaon"
3,"Fulbari Upazila Health Complex , Kurigram",2,"Haripur Upazila Health Complex , Thakurgaon"
4,"Nageswari Upazila Health Complex , Kurigram",3,"Pirganj Upazila Health Complex , Thakurgaon"
5,"Rajarhat Upazila Health Complex , Kurigram",4,"Ranisankhail Upazila Health Complex , Thakurgaon"
6,"Rajibpur Upazila Health Complex , Kurigram",,Naogaon
7,"Rowmari Upazila Health Complex , Kurigram",1,"Atrai Upazila Health Complex , Naogaon"
8,"Ulipur Upazila Health Complex , Kurigram",2,"Badalgachi Upazila Health Complex , Naogaon"
,Nilphamari,3,"Dhamairhat Upazila Health Complex , Naogaon"
1,"Dimla Upazila Health Complex , Nilphamari",4,"Manda Upazila Health Complex , Naogaon"
2,"Domar Upazila Health Complex , Nilphamari",5,"Mohadevpur Upazila Health Complex , Naogaon"
3,"Jaldhaka Upazila Health Complex , Nilphamari",6,"Niamatpur Upazila Health Complex ,Naogaon"
4,"Kishoreganj Upazila Health Complex , Nilphamari",7,"Patnitala Upazila Health Complex , Naogaon"
