0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
,".oN
.lS",,,"fo
leveL",snoitutitsnI,,,".latipsoh
fo
.oN",,Indoor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,roodtuO,ecnadnetta,
,,,,,,,,,,"fo
sdeb
fo
.oN","slatipsoh
eht",,"stneitap
fo
.oN",dettimdA,,"stneitap
fo
.oN",deid,,"stneitap
fo
.oN",egrahcsid,,,"tneitap
fo
.oN",syad,,,"ycnapucco
deB",")%(
etar",,,"htaed
latipsoH",")%(
etar",,,egarevA,"yats
fo
noitarud",,,,,
1,,,"Post Graduate
Hospital",,,,3,,,1014,,43513,,,,1994,,42131,,,,337442,,,,91.17,,,,4.73,,,,8.00,,,,268653,,,
2,,,"Medical College
Hospital",,,,10,,,5550,,461919,,,,20362,,432741,,,,2591582,,,,127.93,,,,4.41,,,,5.72,,,,2764824,,,
3,,,Mental Hospital,,,,1,,,400,,964,,,,10,,882,,,,128186,,,,87.80,,,,1.13,,,,145.00,,,,21320,,,
4,,,"Institute of Mental
Health",,,,1,,,150,,1104,,,,1,,1038,,,,34529,,,,63.07,,,,0.10,,,,33.00,,,,13317,,,
5,,,"Chest Clinics &
Chest Hospital",,,,4,,,406,,3983,,,,92,,3936,,,,95351,,,,64.34,,,,3.43,,,,24.00,,,,,,,
6,,,"Chest Clinics &
Chest Hospital",,,,4,,,80,,466,,,,21,,443,,,,30497,,,,52.22,,,,4.76,,,,69.00,,,,,,,
7,,,Leprosy Hospital,,,,3,,,130,,555,,,,1,,524,,,,21564,,,,45.45,,,,0.14,,,,41.00,,,,18803,,,
8,,,I.D. Hospital,,,,2,,,40,,5474,,,,88,,5255,,,,13668,,,,93.61,,,,9.49,,,,12.00,,,,,,,
9,,,"250-beded Dist.
Hospital",,,,2,,,500,,29984,,,,1217,,27121,,,,115428,,,,63.25,,,,4.36,,,,4.00,,,,209892,,,
10,,,"200-beded Dist.
Hospital",,,,2,,,400,,15359,,,,479,,13034,,,,67724,,,,67.54,,,,3.68,,,,5.00,,,,255448,,,
11,,,"150-beded Dist.
Hospital",,,,4,,,600,,135327,,,,1512,,52941,,,,227577,,,,103.92,,,,2.86,,,,4.00,,,,375615,,,
12,,,"120-Beded Dist.
Hospital",,,,1,,,120,,19248,,,,858,,20614,,,,52828,,,,120.61,,,,4.16,,,,3.00,,,,146472,,,
13,,,"100-beded Dist.
Hospital",,,,41,,,4100,,436412,,,,12333,,429434,,,,1601269,,,,89.01,,,,2.99,,,,4.00,,,,3552924,,,
14,,,"50-beded Dist.
Hospital",,,,2,,,100,,14333,,,,395,,13441,,,,62938,,,,172.43,,,,2.94,,,,5.00,,,,89330,,,
15,,,"Upazila Health
Complex",,,,350,,,10850,,1320741,,,,16624,,1120757,,,,3076284,,,,77.22,,,,1.48,,,,2.00,,,,19075504,,,
16,,,"School Health
Clinic",,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128530,,,
17,,,Urban Dispensaries,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,546125,,,
18,,,Union Sub Center,,,,1362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14979600,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42548357,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
