0,1,2,3,4,5,6,7,8,9,10
"HNPSP Priority
Objectives",Unit of Measurement,,Benchmark (with,,,Projected,,,,
,,,Reference Period,,,Target,,,Target,
,,,and Source),,,Mid-2006,,,Mid-2010,
"Reducing
Malnutrition","% of underweight children age 6
to 59 months (weight for-age Z-
score < -2)","50.9% (Child
Nutrition Survey of
Bangladesh 2000)",,,42%,,,34%,,
,"% of severely underweight
children age 6 to 59 months.","12.9% (Child
Nutrition Survey,
Bangladesh 2000)",,,<5%,,,<2%,,
"Reducing Infant
and Under-five
Mortality","Infant deaths per 1,000 live
births","65.0 (BDHS, 2004)",,,48,,,37,,
,"Deaths in children under 5 per
1,000 live births","86.0 (BDHS, 2004)",,,70,,,52,,
"Reducing the
Burden of
HIV/AIDS, TB,
malaria and other
diseases","Case detection: Proportion of
estimated new smear positive TB
cases detected in a given year","38% (NTP, 2003)",,,70%,,,80%,,
,"Cure rate: Proportion of
registered smear positive TB
cases successfully treated under
DOTS in a given year","83.7% (NTP, 2003)",,,85%,,,88%,,
,"HIV prevalence among pregnant
women aged 15 to 24 years","<4% among IDUs
and CSWs (Report
of the HIV/AIDS
Control Program",,,<2%,,,<0.5%,,
"Prevention and
Control of major
Non-
communicable
diseases","Prevalence of Smokeless
Tobacco use in adults",32% (WHO 2005),,,30,,,20,,
,Prevalence of Smoking in adults,31% (WHO 2005),,,30,,,20,,
,"Increase screening for early
detection of Cancer (Cervix,
Breast & Oral Cancer) through
Self Examination",,,,"15% of
the
eligible
women",,,"30% of the
eligible
women",,
,"Detection of Hypertension with
awareness raising",,,,13%,,,20%,,
