0,1,2,3,4,5
Designation,Sanctioned,Existing,,,Vacant
,Post,Male,Female,Total,
Audio Visual Technician,1,1,0,1,0
Cataloger,1,1,0,1,0
Chief Heart Lung Technician,1,1,0,1,0
Chief Lab Technician,3,1,0,1,2
Chief Lab. Technician,65,45,3,48,17
Chief Pharmacist,1,0,0,0,1
Chief Surgical Technician,1,1,0,1,0
Chief Technician,12,7,0,7,5
Chief Technician,3,3,0,3,0
Chief Technologist,2,2,0,2,0
Computer Operator,1,1,0,1,0
Computer Operator,3,0,0,0,3
Data Entry Operator,19,14,4,18,1
Deputy Nursing Supervisor,2,0,1,1,1
Dietician,4,1,1,2,2
Dist. Sanitary Inspector,64,18,0,18,46
ECG Technician,11,8,2,10,1
Electro Medical Technician,5,5,0,5,0
ETT Technician,2,1,1,2,0
Health Educator,91,29,15,44,47
Heart & Lung Technician,6,2,0,2,4
Holter Technician,2,1,1,2,0
Jr. Metron,3,1,0,1,2
Lab. Tecnician,17,8,3,11,6
Librarian,2,2,0,2,0
Medical Asstt.,"5,389","1,708",200,"1,908","3,481"
Medical Technologist,"3,275","2,457",341,"2,798",477
Nursing Supdt.,2,0,0,0,2
Nursing Supervisor,704,30,533,563,141
Nursing Supervisor,44,3,41,44,0
Nursing Tutor,1,0,1,1,0
O.T. Sister,4,0,4,4,0
Occupational Therapist,3,0,0,0,3
Occupational Therapist,4,2,1,3,1
Pathology Technician,1,1,0,1,0
Pharmacist,"2,768","1,993",149,"2,142",626
Radiographer,7,5,0,5,2
Sanitary Inspector,20,5,1,6,14
Sister,11,0,9,9,2
Sister Tutor,4,0,1,1,3
Special Radiographer,1,1,0,1,0
Sr. Lab Technician,27,22,3,25,2
Sr. Lab Technician,5,5,0,5,0
Sr. Medical Technologist (Radio),3,1,0,1,2
Sr. Staff Nurse,"9,945",443,"8,665","9,108",837
Sr. Surgical Technician,1,1,0,1,0
