0,1,2,3
Upazila Health Complexes,,,
3,"Shibchar Upazila Health Complex , Madaripur",5,"Kendua Upazila Health Complex , Netrokona"
,Netrokona,,Tangail
6,"Khaliajhuir Upazila Health Complex , Netrokona",7,"Mirzapur Upazila Health Complex , Tangail"
7,"Madan Upazila Health Complex , Netrokona",8,"Modhupur Upazila Health Complex , Tangail"
8,"Mohanganj Upazila Health Complex , Netrokona",9,"Nagarpur Upazila Health Complex , Tangail"
9,"Purbadhala Upazila Health Complex , Netrokona",10,"Sakhipur Upazila Health Complex , Tangail"
,Shariatpur,,Kishoreganj
1,"Bhedarganj Upazila Health Complex , Shariatpur",1,"Astagram Upazila Health Complex , Kishoreganj"
2,"Damuddya Upazila Health Complex , Shariatpur",2,"Bajitpur Upazila Health Complex , Kishoreganj"
3,"Goshairhat Upazila Health Complex , Shariatpur",3,"Bhairab Upazila Health Complex , Kishoreganj"
4,"Naria Upazila Health Complex , Shariatpur",4,"Hossainpur Upazila Health Complex , Kishoreganj"
5,"Zanzira Upazila Health Complex , Shariatpur",5,"Itna Upazila Health Complex , Kishoreganj"
,Tangail,6,"Karimganj Upazila Health Complex , Kishoreganj"
1,"Basail Upazila Health Complex , Tangail",7,"Katiadi Upazila Health Complex , Kishoreganj"
2,"Bhuapur Upazila Health Complex , Tangail",8,"Kuliarchar Upazila Health Complex , Kishoreganj"
3,"Delduar Upazila Health Complex , Tangail",9,"Mithamoin Upazila Health Complex , Kishoreganj"
4,"Ghatail Upazila Health Complex , Tangail",10,"Nikhli Upazila Health Complex , Kishoreganj"
5,"Gopalpur Upazila Health Complex , Tangail",11,"Pakundia Upazila Health Complex , Kishoreganj"
6,"Kalihati Upazila Health Complex , Tangail",12,"Tarail Upazila Health Complex , Kishoreganj"
Chittagong Division,,,
,Chittagong,,Cox's Bazar
1,"Anwara Upazila Health Complex , Chittagong",1,"Chakaria Upazila Health Complex , Coxs Bazar"
2,"Baushkhali Upazila Health Complex , Chittagong",2,"Kutubdia Upazila Health Complex , Coxs Bazar"
3,"Boalkhali Upazila Health Complex , Chittagong",3,"Moheshkhali Upazila Health Complex , Coxs Bazar"
4,"Chandanaish Upazila Health Complex , Chittagong",4,"Ramu Upazila Health Complex , Coxs Bazar"
5,"Fatikchari Upazila Health Complex , Chittagong",5,"Teknaf Upazila Health Complex , Coxs Bazar"
6,"Hathazari Upazila Health Complex , Chittagong",6,"Ukhyia Upazila Health Complex , Coxs Bazar"
7,"Lohagara Upazila Health Complex , Chittagong",,Comilla
8,"Mirersarai Upazila Health Complex , Chittagong",1,"Barura Upazila Health Complex , Comilla"
9,"Potiya Upazila Health Complex , Chittagong",2,"Brahmmanpara Upazila Health Complex , Comilla"
10,"Rangunia Upazila Health Complex , Chittagong",3,"Burichong Upazila Health Complex , Comilla"
11,"Rowzan Upazila Health Complex , Chittagong",4,"Chaddagram Upazila Health Complex , Comilla"
12,"Sandwip Upazila Health Complex , Chittagong",5,"Chandina Upazila Health Complex , Comilla"
13,"Satkania Upazila Health Complex , Chittagong",6,"Comilla Sadar Upazila Health Complex , Comilla"
14,"Sitakunda Upazila Health Complex , Chittagong",7,"Daudkandi Upazila Health Complex , Comilla"
,Feni,8,"Debidwar Upazila Health Complex , Comilla"
1,"Chhagalnaya Upazila Health Complex , Feni",9,"Homna Upazila Health Complex , Comilla"
2,"Daganbhuiya Upazila Health Complex , Feni",10,"Laksham Upazila Health Complex , Comilla"
3,"Parsuram Upazila Health Complex , Feni",11,"Meghna Upazila Health Complex , Comilla"
4,"Sonagazi Upazila Health Complex , Feni",12,"Monoharganj Upazila Health Complex , Comilla"
5,"Fulgazi Upazila Health Complex , Feni",13,"Muradnagar Upazila Health Complex , Comilla"
,Bandarban,14,"Nangolkot Upazila Health Complex , Comilla"
1,"Alikadam Upazila Health Complex , Bandarban",15,"Titas (Karikandi) Upazila Health Complex , Comilla"
2,"Lama Upazila Health Complex , Bandarban",,Chandpur
3,"Nykongchari Upazila Health Complex , Bandarban",1,"Faridganj Upazila Health Complex , Chandpur"
4,"Rowangchari Upazila Health Complex , Bandarban",2,"Haimchar Upazila Health Complex , Chandpur"
5,"Ruma Upazila Health Complex , Bandarban",3,"Haziganj Upazila Health Complex , Chandpur"
