0,1,2,3,4,5,6,7,8
Sl.,,,Year,,,,,
No.,Description of subject,,2002,2003,2004,2005,2006,Total
1,"No. of general/advocacy meeting
held and contributed to the meetings",,3750,2572,2923,1506,2120,12871
2,"No. of training program
organized/participated by senior/
junior health education officer:","Number of Training
Program",1720,1321,1872,3072,1218,9203
,,Number of Trainees,31600,39630,33405,61440,22450,188525
3,"Participation in trainings organized
by associated institution",EPI,750,803,1772,1289,932,5546
,,MATS,223,172,138,76,132,741
,,NTC,521,327,1449,1840,218,4355
,,NGO,832,618,1667,1926,390,5433
,,PTI,185,126,1969,1805,40,4125
,,Others,207,128,669,769,154,1927
,,Sub-total,2718,2174,7664,7705,1866,22127
