0,1,2,3,4
Rural Health Center,,,,
,Rurul Health Centers (10 beded),,,
,Dhaka Division,,Rajshahi Division,
,1,"Gopinathpur , Rural Health Center, Gopalganj",3,"Ramchandpur , Rural Health Center , Gaibandha"
,Chittagong Division,,4,"Dahagram & Aungurpota, Rural Health Center,
Lalmonirhat"
,1,"Guinak, Rural Health Center , Nasirnagar , B. Baria",Khulna Division,
,2,"Kalikapur, Rural Health Center, Chaudhagram, Comilla",1,"Paikgacha, Rural Health Center, Kopilmoni , Khulna"
,3,"Sandwip , Rural Health Center , Chittagong",Barisal Division,
,4,"Talbalchhari, Rural Health Center, Mitiranga, Khagrachari",1,"Banaripara, Rural Health Centers, Chhakhar, Barisal"
,5,"Begumganj, Rural Health Center, Noakhali",2,"Daulatkhan, Rural Health Center, Khairhat, Bhola"
,6,"Kaptail, Rural Health Center, Rangamati",3,"Kirtipasha , Rural Health Center, Jhalakathi"
,Rajshahi Division,,4,"Kukua , Rural Health Center , Amtali , Barguna"
,1,"Khokshabari , Rural Health Center, Serajganj",,Sylhet Division
,2,"Nageswari , Rural Health Center, Raiganj , Kurigram",1,"Kaitak , Rural Health Center , Chatak , Sunamganj"
