0,1,2,3,4,5
Urban Dispensaries,,,,,
,Urban Dispensary,,,,
,Dhaka Division,,,Chittagong Division,
,1,"A. G. B. Urban Dispensary, Dhaka",,1,"Agrabad Urban Dispensary, Chittagong."
,2,"B.G. Press Urban Dispensary , Dhaka",,2,"Cornelhut Urban Dispensary, Chittagong"
,3,"Banga Bhaban Urban Dispensary , Dhaka",,3,"Firujshai Urban Dispensary, Chittagong."
,4,"Gandaria Urban Dispensary, Dhaka",,4,"Gausul Azam Urban Dispensary, Chittagong."
,5,"Green Road Urban Dispensary , Dhaka",,5,"Halishahar Urban Dispensary, Chittagong."
,6,"Hajari Bag Urban Dispensary , Dhaka",,6,"Marine Academy Urban Dispensary, Chittagong."
,7,"Janson Road Urban Dispensary , Dhaka",,7,"Panchlaish Urban Dispensary, Chittagong"
,8,"Jhigatala Urban Dispensary , Dhaka",,8,"Roufabad Urban Dispensary, Chittagong."
,9,"Khilgoan Urban Dispensary , Dhaka",,9,"Sheer Shaha Urban Dispensary, Chittagong."
,10,"Mirpur old Colony Urban Dispensary , Dhaka",,Rajshahi Division,
,11,"Mirpur Section -1 Urban Dispensary , Dhaka",,1,"Housing State Urban Dispensary , Dinajpur"
,12,"Mirpur Section -10 Urban Dispensary , Dhaka",,2,"Paba Urban Dispensary , Rajshahi"
,13,"Motijheel Urban Dispensary , Dhaka",,3,"Raninagar Urban Dispensary , Rajshahi"
,14,"Muhammadpur(Rayar Bazar) Urban Dispensary , Dhaka",,4,"Seruil Urban Dispensary , Rajshahi"
,15,"Nayatola Urban Dispensary , Dhaka",,Khulna Division,
,16,"Palashi Barac Urban Dispensary , Dhaka",,1,"Khalishpur Urban Dispensary, Khulna."
,17,"Sher-e-Bangla Nagor Urban Dispensary , Dhaka",,2,"Sadar Urban Dispensary, Khulna."
,,,,3,"Tutpara Urban Dispensary, Khulna."
Stores & Other Facilities,,,,,
,Epidemic Disease Control Centres,,,,
,1,"Airport Health office, Dhaka",,3,"Port Health Office , Mongla , Khulna"
,2,"Port Health office, Chittagong",,,
,Stores (Health & Family Planning),,,,
,1,"Chittagong Medical Sub Depo , Chittagong",,2,"Khulna Medical Sub Depo , Khulna"
,3,"Rajshahi Medical Sub Depo , Rajshahi",,,
,Other Facilities,,,,
,1,,"Chittagong Skin and Social Hygiene Centre, Chittagong",7,"Drug Adicted Rehabilitation Center, Dhaka"
,2,,"Secretariat Clinic , Dhaka",8,"Center for Medical Education, Dhaka"
,3,,"Government Employees Hospital(100 beded), Dhaka",9,"Tongi 50 beded Hospital , Gazipur , Dhaka"
,4,,"50 beded Hospital, Saidpur , Nilphamari",10,"Sreemongal 50 beded Hospital , M. Bazar"
,5,,"National Library and Documentation Centre , Dhaka",11,"Pekua 20 Baded Hospital , Coxs Bazar"
,6,,"Transport and Equipment Maintenance Organization ,
Dhaka",12,"Char Algi 20 Baded Hospital , Sadar, Noakhali"
