0,1,2,3,4
Programme outcome areas,,"Regular
resources","Other
resources",Total
Outcome 1,Sexual and reproductive health,6.5,38,44.5
Outcome 2,Adolescents and youth,4.5,3,7.5
Outcome 3,Gender equality and empowerment of women,7.0,2.5,9.5
Outcome 4,Population dynamics,3.5,2,5.5
Programme coordination and assistance,,1.5,-,1.5
Total,,23,45.5,68.5
