0,1,2,3
Name of indicator,,,Source
A. GEOGRAPHY,,,
Location,"Between 20°34' and 26°38' north latitude and
Between 88°01' and 92°41' east longitude",,"Bangladesh data sheet, BBS"
Boundary,"North and West: India; South: Bay of Bengal;
East: India & Myanmar",,
Area (sq.km.),"147,570 sq. km.(56,977 sq. miles)",,
Territorial water,12 nautical miles,,
Standard time,GMT+ 6 hrs,,
Rainfall,203 mm/month,,
B. ADMINISTRATION,,,
Division,7,,
City corporation,9,,
Metropolitan city,4,,
Municipality,308,,
District,64,,
Upazila,483,,
Union,"4,501",,
Ward,"40,509",,
Village (approximately),"87,310",,
Household,"25,490,822",,
Average size of household,4.68,,"SVRS 2009, BBS"
C. EDUCATION and ECONOMY,,,
Per capita GDP (in US$) 2010-11,664,,"Bangladesh Economic Review
2010"
GDP growth rate (%) 2009-10,6,,
Poverty rate,National: 31.5%; Urban: 21.3%; Rural: 35.2%,,"HIES 2010, BBS"
Average monthly household income (Tk.),"National: 11,480; Urban: 16,477; Rural: 9,648",,
"Average monthly household expenditure
(Tk.)","National: 11,200; Urban: 15,531; Rural: 9,612",,
"Average monthly household consumption
expenditure (Tk.)","National: 11,003; Urban: 15,276; Rural: 9.436",,
Per capita daily calorie intake (kcal),National: 2318.3; Urban: 2244.5; Rural: 2344.6,,
Households benefiting from social safety nets,National: 24.6%; Urban: 9.4%; Rural: 30.1%,,
Households with access to electricity,National: 24.6%; Urban: 9.4%; Rural: 30.1%,,
Households with mobile phones,National: 63.7%; Urban: 82.7%; Rural: 56.7%,,
Literacy rate (7+ yrs),57.9%,,
"Adult literacy rate (Pop.15+), (Both sexes)",58.4,,"SVRS 2009, BBS"
D. DEMOGRAPHY,,,
"Population (in million)
(2011 Census)",Total,142.32,BBS 2011
,Male,71.26,
,Female,71.06,
Population projected July 2015 (in million),Total,158.96,Projections as per BBS 2008
,Male,81.96,
,Female,77.33,
Population projected July 2019 (in million),Total,167.39,
,Male,85.86,
,Female,81.51,
