0,1,2,3,4,5,6,7,8,9,10,11
Opera(cid:1)onal Plan,Alloca(cid:1)on in the revised ADP 2010-2011 ( Lakh Taka),,,,,Expenditure 2010-2011(Lakh Taka),,,,,"Progress
against RADP
alloca(cid:1)on
(%)"
,Total,GO B,RPA-GOB,RPA-Other,"Other
than RPA",Total,GOB,RPA-GOB,"RPA-
Other","Other
than RPA",
"Alterna(cid:1)ve
Medical Care","1,449.00","1,395.00",54.00,0.00,0.00,"1,421.43","1,369.71",51.72,0.00,0.00,98.10
"Communicable
Disease Control","6,961.00","2,900.00","3,561.00",500.00,0.00,"6,640.67","2,878.46","3,436.69",325.52,0.00,95.40
"Essen(cid:1)al Service
Delivery","35,053.00","7,820.00","4,433.00",0.00,"22,800.00","27,382.11","5,775.25","2,653.80",0.00,"18,953.06",78.12
"Health Educa(cid:1)on
and Promo(cid:1)on","1,074.00",874.00,150.00,0.00,50.00,"1,069.66",869.68,149.98,0.00,50.00,99.60
"Human Resource
Management",100.00,75.00,25.00,0.00,0.00,100.00,75.00,25.00,0.00,0.00,100.00
"Improved
Financial
Management",25.00,10.00,15.00,0.00,0.00,25.00,10.00,15.00,0.00,0.00,100.00
"Improved
Hospital Services
Management","15,200.00","5,000.00","10,000.00",0.00,200.00,"13,333.36","4,450.62","8,780.68",0.00,102.06,87.72
"In-service
Training (IST)","2,830.00",400.00,"1,930.00",0.00,500.00,"3,326.15",333.17,"1,892.98",0.00,"1,100.00",117.53
"Management
Informa(cid:1)on
System
(MIS-Health)","1,271.00",400.00,765.00,0.00,106.00,"1,270.81",399.91,764.90,0.00,106.00,99.99
"Micronutrient
Supplementa(cid:1)on","2,000.00",400.00,"1,600.00",0.00,0.00,"1,855.48",299.08,"1,556.40",0.00,0.00,92.77
"Tuberculosis and
Leprosy Control","8,590.00",220.00,472.00,0.00,"7,898.00","6,217.35",193.07,307.72,"5,537.70",178.86,72.38
"Na(cid:1)onal
AIDS/STD
Program (NASP))","3,716.00",200.00,"3,216.00",0.00,300.00,"3,534.80",195.72,"3,039.08",0.00,300.00,95.12
Na(cid:1)onal Eye Care,320.00,200.00,20.00,0.00,100.00,305.89,188.04,17.85,0.00,100.00,95.59
"Non-
communicable
Diseases and
Other Public-
health
Interven(cid:1)ons","2,386.00","1,836.00",340.00,0.00,210.00,"2,157.00","1,825.00",332.00,0.00,0.00,90.40
"Pre-service
Educa(cid:1)on (PSE)","6,000.00","4,000.00","2,000.00",0.00,0.00,"5,887.47","3,902.96","1,984.51",0.00,0.00,98.12
"Procurement and
Supplies
Management","13,020.00","13,000.00",20.00,0.00,0.00,"13,018.55","12,998.81",19.74,0.00,0.00,99.99
Quality Assurance,61.00,16.00,45.00,0.00,0.00,60.83,15.83,45.00,0.00,0.00,99.72
"Research and
Development",125.00,25.00,100.00,0.00,0.00,121.47,21.47,100.00,0.00,0.00,97.18
"Sector-wide
Program
Management",96.00,60.00,36.00,0.00,0.00,93.60,57.60,36.00,0.00,0.00,97.50
Total,"90,840.00","41,764.00","20,810.00",500.00,"27,766.00","82,046.31","38,965.94","18,620.41","3,364.91","21,095.05",90.32
