0,1,2,3
Descrip(cid:1)on,Batch (N),Dura(cid:1)on,Par(cid:1)cipants (N)
Training/Workshop under the HNPSP 2003-2011,,,
"Advanced computer training for MIS staff all over the country and/or
data-entry/clerical staff",16,15 days,240
Computer training for doctors,12,14 days,180
Training for data-handling staff,6,6 days,90
Computer training for MIS data access for policy-makers,4,4 days,60
Orienta(cid:1)on training/workshop of divisional directors and civil surgeons,1,1 day,72
Tools/methods/reports development consulta(cid:1)ve workshop,4,4 days,40
MIS coordina(cid:1)on consulta(cid:1)ve workshop at the MOHFW,4,1 day,16
MIS coordination consulta(cid:1)ve workshop at the DGHS,8,1 day,56
MIS coordina(cid:1)on workshop at medical colleges/ter(cid:1)ary hospitals,4,1 day,1120
MIS coordina(cid:1)on workshop at divisions,4,1 day,192
MIS coordina(cid:1)on workshop at district/sadar hospitals,4,1 day,"1,560"
MIS coordina(cid:1)on workshop at upazila hospitals,4,1 day,11568
"GR mapping training (A1, H1, AH1, HA, Sta(cid:1)s(cid:1)cian)",1,4 days,24611
Dissemina(cid:1)on workshop,4,1 day,136
Consulta(cid:1)ve workshop for reviewing HIS status,8,1 day,56
Total (HNPSP),,,39997
Training under UNICEF,,,
Training on Integrated Management of Childhood Illness and Emergency Obstetric Care,,,
"Training on IMCI and EmOC customized so(cid:5)ware for sta(cid:1)s(cid:1)cal ass(cid:4). and
upazila sta(cid:1)s(cid:1)cian",15,2 days,428
"Capacity development of MIS staff on matenal, neonatal and child health
informa(cid:1)on system at the na(cid:1)onal level",1,1 day,24
"Orienta(cid:1)on on IMCI monthly repor(cid:1)ng format for paramedics (UH&FPO,
UFPO, MO-MCH, IMCI MO, M.A, SACMO)",8,1 day,258
"Orienta(cid:1)on on IMCI monthly repor(cid:1)ng format UH&FPO, UFPO, MO-MCH,
RMO, MO-IMCI trained, at the district level",14,1 day,372
"One-day training on IMCI monthly repor(cid:1)ng format for RMO,, MO, MA,
Sta(cid:1)s(cid:1)cian, SACMO, FWV, Sr. Staff Nurse at the upazila level",71,1 day,2171
Total (UNICEF),,,3253
Training/Workshop under WHO (par(cid:1)al list),,,
"Service availability mapping (SAM); 64 districts, 22 upazilas
(Class 1, Class III)",4,4 days,102
Improved collec(cid:1)on of informa(cid:1)on by NGO/private hospitals,6,2 days,158
Service availability mapping (SAM) by MIS personnel,1,4 days,28
Methods of collec(cid:1)on of Informa(cid:1)on by MIS personnel,1,4 days,30
"Consulta(cid:1)ve workshop to develop a guideline on district-level health
informa(cid:1)on system (MIS)",1,4 day,8
"Consulta(cid:1)ve workshop to develop a guideline on hospital informa(cid:1)on
system",1,4 days,8
Total (WHO),,,334
