0,1,2,3
Recommended Corrective Action Measures,Responsibility,Timeline,Implementation Status
"DGHS/PIU will prepare and share the EMP of
remaining 3 packages for Isolation unit, ICU/CCU with
ADB for their disclosure",DGHS/PIU,by 15 December 2021,Under preparation
"DGHS/PIU will prepare audit report and EMP for Land
Port Screening Facilities upon finalization of location
and design specification",DGHS/PIU,by 31 December 2021,Yet to be finalized
"DGHS/PIU will prepare EMP for the PCR lab upon
finalization of the location and design specification",DGHS/PIU,by 31 December 2021,Under preparation
"DGHS/PIU will submit Semi-annual Environmental
Monitoring Report with updated information of the
project",PIU,by 31 December 2021,Submitted
"DGHS/PIU will update the Environmental
Assessment and Review Framework (EARF)",PIU,by 31 December 2021,Under revision
