0,1
Name,No.
"Development works at Dinajpur 250-bedded
Hospital",1
"Development works at Noakhali 250-bedded
Hospital",1
Medical gas systems at district hospitals,20
"Burn and plastic surgery unit at Mohammad
Ali 250-bedded Hospital",1
Total,26
