0,1,2,3,4,5
"SDG
target","Baseline data
(Year)","2017 Data, DGHS
Bangladesh","Milestone
by 2020","Target by
2030",Remark
2.2.1,"36.1% (BDHS,
2014)","36.1% (BDHS,2014)",25%,12%,
2.2.2,"a) Wasting: 14.3%
(BDHS, 2014)
b) Overweight:
1.6% (MICS, 2012-
13)","a) Wasting: 14.3%
(BDHS, 2014)
b) Overweight: 1.6%
(MICS, 2012-13)","a) 12%
b) 1.5%","a) <5%
b) 1.0%","a) <5%
b) 1.0%"
5.3.1,"Before 15: 23.8%
(MICS, 2012-13)
Before 18: 58.6%
(BDHS, 2014)",-,"Before 15:
15%
Before 18:
30%","Before 15:
0%
Before 18:
10%",
5.6.1,"a) SR: 14%
(b) CU: 67%
(c) ANC: 65%
(BDHS, 2014)",-,"a) 20%
b) 70%
c) 70%","a) 30%
b) 80%
c) 90%",
7.1.2,"20.8% (SVRS,
2015)",-,25%,35%,
11.5.1,"Affected Persons:
12,881per 100,000
people in 2014
(ICCHL, BBS,
2015)",No data is available,"6,500","1,500",
13.1.2,"Affected Persons:
12,881per 100,000
people in 2014
(ICCHL, BBS,
2015)",No data is available,"6,500","1,500",
16.9.1,,-,,,
17.19.2,,-,,,
