0,1
Inpatient attendance at Specialized hospital,"no. of
visit"
"Pabna Mental Hospital, Pabna",1676
"Sheikh Fazilatunnessa Mujib Eye Hospital And
Training Institute",2308
National Institute Of Ent In Dhaka,2942
"Bangladesh Institute of Tropical and Infectious
Diseases, Fouzdarhat",3369
"National Institute of Mental Health and
Research, Dhaka",4237
"National Institute of Cancer Research and
Hospital, Dhaka",5455
"National Institute of Kidney Diseases & Urology,
Dhaka",5636
Institute of Child & Mother Health (ICMH) Matuail,8332
National Institute Of Neuro Science (NINS),10471
"National Institute of Ophthalmology,
Dhaka(NIO)",12784
"National Institute of Diseases of the Chest and
Hospital, Dhaka",16342
Mugda 500 beded General Hospital,22426
"National Institute of Traumatology &
Orthopaedic Rehabilitation, Dhaka(NITOR)",23049
Kurmitola General Hospital ( 500 Bed ),32574
"National Institute of Cardiovascular Diseases,
Dhaka",69879
