0,1
Emergency ward attandance 2017,no. of visit
"MAG Osmani MCH, Sylhet",13838
"Mymensingh MCH, Mymensingh",15282
"Rajshahi MCH, Rajshahi",19486
"M Abdur Rahim MCH, Dinajpur",51804
"Comilla MCH, Comilla",53229
"Faridpur MCH, Faridpur",54156
"Shahid Ziaur Rahman MCH, Bogra",72270
"Shaheed Tajuddin Ahmad MCH, Gazipur",102133
"Rangpur MCH, Rangpur",105036
"Sir Salimullah MCH, Mitford, Dhaka",168572
"Shaheed Suhrawardy MCH, Dhaka",187838
"Chittagong MCH, Chittagong",237222
"Dhaka MCH, Dhaka",462438
