0,1
Inpatient attendance,no. of visit
"Shaheed Tajuddin Ahmad MCH, Gazipur",22451
"M Abdur Rahim MCH, Dinajpur",48572
"Comilla MCH, Comilla",56324
"Faridpur MCH, Faridpur",56363
"Khulna MCH, Khulna",57907
"Sir Salimullah MCH, Mitford, Dhaka",65797
"Shaheed Suhrawardy MCH, Dhaka",75006
"Shahid Ziaur Rahman MCH, Bogra",76251
"Rangpur MCH, Rangpur",110582
"MAG Osmani MCH, Sylhet",146815
"Rajshahi MCH, Rajshahi",170596
"Dhaka MCH, Dhaka",172343
"Chittagong MCH, Chittagong",203521
"Mymensingh MCH, Mymensingh",205729
