0,1
Organisation name,ALS
"National Institute of Diseases of the Chest and
Hospital, Dhaka",14.5
"National Institute of Mental Health and
Research, Dhaka",12.5
National Institute Of Neuro Science (NINS),10.5
"National Institute of Traumatology &
Orthopaedic Rehabilitation, Dhaka(NITOR)",9.4
"National Institute of Kidney Diseases & Urology,
Dhaka",8.8
National Institute Of Ent In Dhaka,7.6
Kurmitola General Hospital ( 500 Bed ),6.8
Mugda 500 beded General Hospital,4.8
"National Institute of Cardiovascular Diseases,
Dhaka",4.2
"National Institute of Ophthalmology,
Dhaka(NIO)",4.1
Institute of Child & Mother Health (ICMH) Matuail,3.6
Dhaka Shishu Hospital,3
"Bangladesh Institute of Tropical and Infectious
Diseases, Fouzdarhat",2.7
