0,1,2,3,4
Table 7.11. Institution-based progress in medical eduaction scenerio in the last 10 years,,,,
Institute,2009,2018,"Increased in
Number","Increased in
Per-centage (%)"
Medical University,1,4,3,300
Government Medical College,17,36,19,112
Private Medical College,40,69,29,73
Army And Armed Forces Medical College,1,6,5,500
Government Dental College and Unit,3,9,6,200
Private Dental College and Unit,11,26,15,136
Government Institute of Health Technology (IHT),3,11,8,267
Private Institute of Health Technology (IHT),38,97,59,155
Government Medical Assistant Training School (MATS),7,9,2,29
Private Medical Assistant Training School (MATS),23,200,177,770
Total Institute,144,467,323,224
