0,1,2,3
"Level of
facilities",Name of facility,"No. of
facilities","No. of functional
beds"
Secondary,Chittagong Port Health Office,1,0
,Khulna Port Health Office,1,0
Tertiary,"Central Skin & Social
Hygiene Center, Chittagong",1,0
,"National Center For Control
Of Rheumatic Fever & Heart
Disease",1,0
,National Asthma Center,1,70
Tertiary,,5,"1,450"
Tertiary,,11,"3,284"
Secondary,,6,120
Tertiary,"Kurmitola 500 Bed General
Hospital, Dhaka",1,500
Tertiary,"Mugda 500 Bed General
Hospital, Dhaka",1,500
Secondary,"Narayanganj 300 Bed
Hospital",1,300
,"Narsingdi 100 Bed Zilla
Hospital",1,100
,"Bangladesh Korea Moitree
Hospital, Savar, Dhaka",1,0
,"Kuwait Bangladesh
Friendship Govt. Hospital,
Uttara, Dhaka",1,0
,"Saidpur 100 Bed Hospital,
Nilphamari",1,100
,,254,"32,613"
