0,1
Emmergency attendances,"no. of
visit"
"National Institute of Cardiovascular Diseases,
Dhaka",101144
Kurmitola General Hospital ( 500 Bed ),58891
"National Institute of Traumatology &
Orthopaedic Rehabilitation, Dhaka(NITOR)",50555
Institute of Child & Mother Health (ICMH) Matuail,45156
Mugda 500 beded General Hospital,34105
National Institute Of Neuro Science (NINS),26950
"National Institute of Diseases of the Chest and
Hospital, Dhaka",9963
"National Institute of Kidney Diseases & Urology,
Dhaka",7980
National Institute Of Ent In Dhaka,7104
"National Institute of Cancer Research and
Hospital, Dhaka",5688
"National Institute of Mental Health and
Research, Dhaka",3542
"National Institute of Ophthalmology,
Dhaka(NIO)",3472
"Bangladesh Institute of Tropical and Infectious
Diseases, Fouzdarhat",3304
"Sheikh Fazilatunnessa Mujib Eye Hospital And
Training Institute",278
