0,1,2,3,4,5
৮৩,,"আদলাক সহলেদকয়ার রলঃ (রমরপুর ব্রাঞ্চ), ঢাকা",0,0,64989
৮৪,,"অদেিটিক ডায়াগিরিকস এন্ড কিসালদর্শি রলঃ, ঢাকা",0,0,11715
৮৫,,"পপুলার ডায়াগিরিক সসন্টার রলঃ (িািমরন্ড ব্রাঞ্চ), ঢাকা",0,0,207642
৮৬,,"সফমাস সেশালাইজড হাসপাতাল, ঢাকা",0,0,132764
৮৭,,"সিাভাস রিরিকযাল ররসাচ বসারভদবসস রলরমদর্ড, ঢাকা",0,0,49768
৮৮,,"সমরডদিাভা সমরডকযাল সারভদবসস রলরমদর্ড (রমরপুর শাখা), ঢাকা",0,0,17812
৮৯,,"আল-জামী ডায়াগিরিক সসন্টার, ঢাকা",0,0,41934
৯০,,"গ্রীণ লাইফ হাসপাতাল রলরমদর্ড, ঢাকা",0,0,38731
৯১,,"সিমজ সহলে সকয়ার (রবরড) রলরমদর্ড, ঢাকা",0,0,84742
৯২,,"সপ্রসরক্রপশি পদয়ন্ট রলরমদর্ড (বাড্ডা ব্রাঞ্চ), ঢাকা",0,0,239734
৯৩,,"বসুন্ধরা সমরডদকল এন্ড ডায়াগিরিক সসন্টার, ঢাকা",0,0,181802
৯৪,,"ডায়িারমক ল্যাব, ঢাকা",0,0,72354
৯৫,,"ঢাকা সসন্ট্রাল ইন্টারন্যাশিাল সমরডদকল কদলজ এন্ড হসরপর্াল, ঢাকা",0,0,32501
৯৬,,"আে-দ্বীি সমরডদকল কদলজ হাসপাতাল, ঢাকা",0,0,14011
৯৭,,"সহলেদকয়ার ডায়াগিরিক সসন্টার রলরমদর্ড, ঢাকা",0,0,6849
৯৮,,"ইমপালস মরলকুলার ডায়াগিরিক ল্যাবদরর্রর, ঢাকা",0,0,21863
৯৯,,"আল-সহলাল সেশালাইজড হাসপাতাল, ঢাকা",0,0,3544
১০০,,"জাপাি সমরডদকল সসন্টার, ঢাকা",0,0,21266
১০১,,"রভদটাররয়া সহলেদকয়ার রলঃ, সমাহাম্মেপুর, ঢাকা",0,0,10212
১০২,,"গ্রীণ রক্রদসন্ট সহলে সারভদবসস, ঢাকা",0,0,1190
১০৩,,"আরশয়াি সমরডদকল কদলজ হাসপাতাল, বারুয়া, ঢাকা",0,0,12729
১০৪,,"মীম সমরডদকল সসন্টার, ঢাকা",0,0,16740
১০৫,,"সাহাব উরিি সমরডদকল কদলজ হাসপাতাল, ঢাকা",0,0,870
