0,1,2,3,4,5
১৪৩,,"সশভরি রিরিকযাল ল্যাবদরর্রর প্রাঃ রলঃ, চট্টগ্রাম",0,0,153577
১৪৪,,"চেগ্রাম সমদোপরলর্ি হাসপাতাল রলরমদর্ড, চট্টগ্রাম",0,0,6346
১৪৫,,"এরশয়াি সেশালাইজড হসরপর্াল এন্ড ডায়াগিরিক সসন্টার, চট্টগ্রাম",0,0,23629
১৪৬,,"কুরমল্লা রসটি স্কযাি, এমআরআই, সেশালাইজড ডায়াগিরিক এন্ড
ডায়ালাইরসস সসন্টার, কুরমল্লা",0,0,14184
১৪৭,ময়মিরসাংহ,"জামালপুর সমরডদকল কদলজ, জামালপুর",0,0,27362
১৪৮,রাজশাহী,"শহীে এম মিসুর আলী সমরডদকল কদলজ, রসরাজগঞ্জ",0,0,69411
১৪৯,,"খাজা ইউনূস আরল সমরডদকল কদলজ ও হাসপাতাল, রসরাজগঞ্জ",0,0,7701
১৫০,,"টিএমএসএস সমরডদকল কদলজ ও রাফাতুল্লাহ করমউরিটি হাসপাতাল,
বগুড়া",0,0,41762
১৫১,,পাবিা সমরডদকল কদলজ,0,0,15710
১৫২,,"রিউ গ্রীি রসটি হসরপর্াল এন্ড ডায়াগিরিক সসন্টার, পাবিা",0,0,48236
১৫৩,,"রডএিএ সল্যযশি রলরমদর্ড ডায়াগিরিক সসন্টার, পাবিা",0,0,15688
১৫৪,,"এ এম সজড ডায়াগিরিক, পাবিা",0,0,16889
১৫৫,,িওগাঁ সমরডদকল কদলজ,0,0,6752
১৫৬,রসদলর্,"শাহজালাল রবজ্ঞাি ও প্রযুরক্ত রবশ্বরবদ্যালয়, রসদলর্",0,0,111338
১৫৭,খুলিা,খুলিা সমরডদকল কদলজ,0,0,192183
১৫৮,,খুলিা রবশ্বরবদ্যালয়,0,0,1223
১৫৯,,যদশার রবজ্ঞাি ও প্রযুরক্ত রবশ্বরবদ্যালয়,0,0,121794
১৬০,,কুরষ্টয়া সমরডদকল কদলজ,0,0,148454
১৬১,বররশাল,"সশর-এ-বাাংলা সমরডদকল কদলজ, বররশাল",0,0,115450
১৬২,,,0,0,31484
সবদবমার্ আরটি রপরসআর সর্ি,,,1,1,1375601
সকারভড-১৯ রজি এিপার্ বসর্ি,,,0,0,155057
সকারভড-১৯ র্ যারপড অযারন্টদজি সর্ি,,,0,0,1831960
সবদবমার্,,,1,1,15739567
