0,1,2,3,4,5,6
Table 6.4. Age and sex distribution of the emergency-attendance among all hospitals in 2015,,,,,,
Level,Type of facility,Male,,Female,,Total
,,<5 years,>5 years,<5 years,>5 years,
Primary,10-bed hospitals,"2,805","4,777","1,767","4,442","13,791"
,20-bed hospital,"1,782","8,923","1,721","19,718","32,144"
,Trauma centers (TC),"3,133","6,019","2,481","8,024","19,657"
,Upazila health complex,"394,807","1,263,128","449,529","1,237,005","3,344,469"
Secondary,District hospitals,"252,245","824,848","250,035","807,004","2,134,132"
Tertiary,"Bangladesh Institute Of
Tropical and Infectious
Disease, Chittagong",106,"2,972",68,"2,790","5,936"
,"Hospitals of alternative
medical colleges","1,288","4,081","1,173","4,558","11,100"
,Medical college hospitals,"119,635","624,750","89,309","567,066","1,400,760"
,"Other tertiary facilities
(Mental Hospital, Pabna
and Shaheed Sheikh
Abu Naser Specialized
Hospital, Khulna)",0,"4,223",0,"3,711","7,934"
,"Specialty institute
hospitals","23,393","118,991","19,280","66,145","227,809"
Total,,"822,587","2,981,703","834,643","2,786,608","7,425,541"
