0,1,2,3
"Table 16.14. Junior midwifery institutions, with number of seats in each (June 2016)",,,
Division,Name of junior midwifery institution,,"No. of
seats"
Chittagong,1.,"Junior Midwifery Institute, Red Crescent Matrisadan Hospital,
Chandpur",20
,2.,"Jemison Red Crescent Midwifery Institute, Agrabad, Chittagong",50
,3.,"Christian Hospital, Chandraghona, Rangamati",20
,4.,"Junior Midwifery Institute, Memon Hospital, City Corporation,
Chittagong",30
Dhaka,5.,"Junior Midwifery Institute, Holy Family Red Crescent Hospital, Dhaka",60
,6.,"Junior Midwifery Institute, Shaheed Moyez Uddin Memorial Red
Crescent",20
,,"Matrisadan Hospital, Bangla Bazar, Dhaka",
,7.,"Junior Midwifery Institute, Kumudini Hospital, Mirzapur, Tangail",20
,8.,"Central Hospital Nursing Institute, Green Road, Dhanmondi, Dhaka",20
Khulna,9.,"Junior Midwifery Institute Ad-Din Matrisadan Hospital, Jessore",20
,10.,"Junior Midwifery Institute, Fatema Hospital, Jessore",20
Rajshahi,11.,"Junior Midwifery Institute, Christian Hospital, Bogra",20
Rangpur,12.,"Prime Nursing College, Rangpur",20
,,Total seats,320
