0,1,2,3,4,5,6,7,8,9,10
Division,Name of institute with location,Estd.,Discipline,,,,,,,Total
,,,LAB,"RDL/
RDT",PTY,DENT,PHAR,Other1,Other2,
Dhaka,"Mymensingh BNSB Institute of Community
Ophthalmology, Mymensingh",2011,0,0,0,0,0,"MLOP
Asstt.20",0,20
,"SPKS Medical Assistant Training School, Mirpur, Dhaka",2011,25,0,0,0,25,0,0,50
,"Florence Institute of Medical Technology, Maskanda,
Mymensingh",2012,40,0,0,40,0,0,0,80
,"Genemi Institute of Health Technology, Paik Kandi,
Gopalganj",2012,30,30+30,0,0,0,0,0,90
Khulna,"Ad-Din Women’s Institute of Health Technology,
Jessore",2007,25,25,0,25,25,0,0,100
,"Specialised Medical Institute, 3 MU Bhuiya Sorok,
Hospital Road, Kushtia",2015,25,0,25,25,0,0,0,75
,"SAIC Institute of Medical Technology, Khulna",2010,50,0,30,50,50,0,0,180
Barisal,"Advance Institute of Medical & Dental Technology,
Barisal",2010,50,25,25,25,50,0,0,175
,"Disable Welfare Foundation Science and MT Institute,
Sabujbag, Patuakhali",2012,25,0,0,25,0,0,0,50
,"Progressive Institute of Dental Technology, College
Road, Bauphol, Patuakhali",2014,25,0,0,25,0,0,0,50
,"Jamjam Institute of Health Technology, Kajipara, C&B
Road, Barisal",2012,25,25,0,25,0,0,0,75
Rajshahi,"Bangladesh Institute of Medical Technology Haji
Mohsin Road, Dilalpur, Pabna",2007,30,0,30,30,30,"25
BSc in
(Lab)",0,145
,"Health Ways Institute of Medical Technology, Bogra",2002,100,0,0,31,50,0,0,181
,"Islami Bank Institute of Medical Technology, Rajshahi",2007,50,25,0,25,50,0,0,150
,"Janata Institute of Medical Technology, Bogra",2002,50,40,0,40,25,0,0,155
,"Joypurhat Institute of Medical Technology, Joypurhat",2010,50,0,0,0,50,0,0,100
,"Prime Institute of Medical Technology, 213/A
Talaimari, Rajshahi",2006,100,0,0,50,50,0,0,200
,"B-Baria Institute of Medical Technology, Baharampur,
Rajshahi",2010,25,0,0,0,25,0,0,50
,"Naogaon Institute of Medical Science & Technology,
Kazirmoor, Naogaon",2011,25,0,0,25,25,0,0,75
,"Rajshahi Institute of Medical Technology, Laxmipur,
Rajshahi",2002,50,0,0,50,70,0,0,170
,"Shah Makhdum Institute of Medical Technology,
Boalia, Rajshahi",2011,30,,,20,20,,,70
,"SAIC Institute of Medical Technology, Bogra",2008,50,0,0,25,50,0,0,125
,"TMSS Institute of Medical Technology, Thengamara,
Bogra",2007,100,40,0,30,50,0,0,220
,"City Institute of Medical Technology, Rajshahi",2010,25,0,0,0,25,0,0,50
,"Bangladesh Institute of Medical Technology, Boalia,
Rajshahi",2010,25,0,0,0,25,0,0,50
,"NDC Institute of Medical Technology, Joypurhat",2010,50,0,0,0,50,0,0,100
,"Sirajganj Institute of Medical Technology, Sirajganj",2010,25,0,0,15,25,0,0,65
,"Birampur Institute of Medical Technology, (IHT),
Birampur, Rajshahi",2012,50,0,0,0,50,0,0,100
,"SM Institute of Medical Technology & MATS, Ullapara,
Sirajganj",2014,50,0,0,0,50,0,0,100
,"Saleha Medical Assistant Training Institute, Boro
Bonogram, Rajshahi",2014,50,0,50,0,50,0,0,150
,Pabna Ideal Institute of Medical Technology,2014,25,0,0,0,25,0,0,50
,"Ideal Institute of Health Technology, Chakfaridpur
Colony, Bogra",2013,40,0,20,20,0,0,0,80
,"Bright Nation Health & Technology Institute, Pabna",2013,50,25,0,25,0,0,0,100
,"Sailor Institute of Medical Technology Sapura, Boalia,
Rajshahi",2013,30,0,0,0,0,0,0,30
