0,1,2,3,4,5,6,7,8
"Table 9.10. Nationwide TB case notification; absolute number, 2015 (according to new classification)",,,,,,,,
Reporting unit,Type of cases,,,,,,,
,"Pulmonary
(Bacteriologically-
confirmed)",,"Pulmonary
(Clinically-
diagnosed)",,"Extra-
pulmonary",,"All
re-treated
cases,
except
relapses",Total
,New,Relapse,New,Relapse,New,Relapse,,
Upazila,"102,192","2,223","36,885","3,028","31,186",807,"2,053","178,374"
"Metropolitan
area","10,478",842,"5,567",360,"9,559",484,394,"27,693"
CDC,"1,278",101,617,15,"1,255",29,76,"3,371"
Total,"113,948","3,166","43,078","3,403","42,000","1,320","2,523","209,438"
