0,1,2,3,4,5,6,7,8,9,10,11,12,13
IEC,,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,,Responsibility,,
,,,,,Method of Collecting,,,Location and,,Implementation,,Supervision,
,,,,,and Reporting Data,,,Frequency,,,,,
,OPERATION PHASE,,,,,,,,,,,,
"COVID Waste
Management",,"• COVID waste has posed serious
health hazards and can spread the
contagion among hospital staff,
waste handlers and the
community.","• Prepare medical waste management plan that will cover the waste generated
from the response to the COVID-19 infection. The plan will follow ADB’s
guidance note on managing medical waste during COVID-19 pandemic as
well as any other government regulations.
• All medical waste produced during the care of COVID-19 patients must be
considered as infectious waste and should be segregated and collected safely in
designated colored coded containers.
• Use of colored bins (like yellow) and to put Covid wastes in 2-3 layered plastic bag.
These wastes need to disinfectant first using chlorine or any other germicides and
then safely transport them through marked vehicles in a marked place.
• Waste segregation, packaging, collection, storage disposal, and transport will be
conducted in compliance with WHO COVID-19 Guidelines.
• Train the staffs on color coding and handling of infectious Covid wastes.","• Visual inspection
and consultation
with hospital staff
and cleaners.
• Record of waste
type and quantity
and the disposal
method.",,,"Hospital area
especially in
COVID ward
during operation
period",,,SSKMCH,,DGHS,
"Medical Waste
Management",,"• Poor management of medical
waste exposes healthcare
workers, waste handlers and the
community to infections, toxic
effects and injuries.
• Soil, water and air pollution from
the improper management of
wastes generated from the facility.","• Provision of color coded, covered receptacles in strategic positions of the
facility for separate categories of waste and regular cleaning of waste bins.
Labels showing the type of waste that should be disposed of in each
container should be placed near to the bins to guide staff and reinforce good
habits.
• Medical wastes generated in the hospital will be treated by in-house facility and
then this treated wastes will be disposed of as per a pre-determined SOP in
accordance with international good practices. Transport the medical waste with
covered vehicle. The records of waste disposal will be maintained as proof for
proper management as designed.
• Ensure necessary PPE (gown, gloves, face mask, goggles or face shield,
gumboots) is provided to all staffs, as required and ensure them to wear PPE when
handling and disposing waste according to national and WHO guideline.
• Do not burn the wastes openly or throw in to water bodies or do not dispose on soil.
• Audit for any off-site waste disposal will be required on a monthly basis and institute
any remedial measures required to ensure compliance.","• Visual inspection
and consultation
with hospital staff
and cleaners.
• Record of waste
type and quantity
and the disposal
method.",,,"Hospital area
during operation
period",,,SSKMCH,,DGHS,
"Occupational
Health and
Safety including
COVID H&S",,"• Needle-sticks, surgical cuts, and
other injuries posing transmission
risk of blood-borne diseases such
as COVID-19, Hepatitis C, HIV-
AIDS, etc.
• Dermatitis and allergic reactions
due to workplace exposures.","• Prepare a health and safety guidance for COVID-19 and strictly follow the
guidance at the facility.
• Refer to IFC EHS Guidelines for Healthcare Facilities (2007) and relevant national
guidelines and protocols.
• Implement suitable safety standards for all workers and facility visitors.
• Mandatory use of personal protective equipment and safety gears, where required.
• Arrangements for safe drinking water and sanitation facilities.
• Provide regular OHS training to healthcare workers.
• Provide incentives to staff and create a work-life balance in work schedule.","• Regular inspection
and testing of all
safety features and
hazard control
measures and
personal protective
features",,,"Hospital area
during operation
period",,,SSKMCH,,DGHS,
"Accidental
Releases of Gas
and Fluids",,"• Leakage of infectious or hazardous
substances may pose serious
health hazards and can spread the","• Develop an Emergency Response Plan and follow strictly during emergency
incident.","• Record of regular
inspection.",,,"Hospital area
during operation
period",,,SSKMCH,,DGHS,
