0,1,2,3,4,5,6,7,8,9,10,11
IEC,Potential Impact,Mitigation Measures,,Monitoring Method,,,,,Responsibility,,
,,,"Method of Collecting
and Reporting Data",,,Location,,Implementation,,Supervision,
,,,,,,and,,,,,
,,,,,,Frequency,,,,,
"Medical Waste
Management","• Poor management of
medical waste exposes
healthcare workers,
waste handlers and the
community to infections,
toxic effects, and injuries.
• Soil, water, and air
pollution from the
improper management of
wastes generated from
the facility.","• Provision of color coded, covered receptacles in strategic positions of
the facility for separate categories of waste and regular cleaning of
waste bins. Labels showing the type of waste that should be disposed
of in each container should be placed near to the bins to guide staff and
reinforce good habits.
• Medical wastes generated in the medical centre will be treated by in-house
facility and then these treated wastes will be disposed of as per a pre-
determined SOP in accordance with international good practices. Transport
the medical waste in a biohazard bag with covered vehicle. The records of
waste disposal will be maintained as proof for proper management as
designed.
• Ensure necessary PPE (gown, gloves, face mask, goggles or face shield,
gumboots) is provided to all staffs, as required and ensure them to wear PPE
when handling and disposing waste according to national and WHO
guideline.
• Do not burn the wastes openly or throw in to water bodies or do not dispose
on soil.
• Audit for any off-site waste disposal will be required on a monthly basis and
institute any remedial measures required to ensure compliance.","• Visual inspection and
consultation with
medical centre staff and
cleaners.
• Record of waste type
and quantity and the
disposal method.",,"Medical
Centre
premises",,,"Civil
Surgeon/UHFPO",,DGHS,
"Hazards due to
Substation & Generator","• Noise and vibration may
have an impact on
medical centre staff,
doctors, patients and
their relatives.
• Accidental spillage of oil
and toxic coolants that
would contaminate land
and water.
• Risk of fire and
electrocution hazards
from substation.","• Develop an Emergency Response Plan and follow strictly during
emergency incident.
• Have provision to use canopy to absorb 0.7 dB to 0.8dB of noise.
• Periodic maintenance of equipment such as transformers and capacitors to
minimize noise generation.
• Provision of oil-water separator and oil containment structure.
• Substation room will be entry restricted and security staff assigned to prevent
unauthorized public access. Place warning signs at substation and generator
room.
• Ensure firefighting arrangement such as fire extinguishers, fire alarms etc. in
the substation site.
• Use of PPE, proper training, awareness, keeping safe distance from
hazardous points, maintaining safety of high switchyard and cable gallery.","• Regular inspection and
testing of all safety
features and hazard
control measures and
personal protective
features.",,"Substation
room
during
operation
period",,,"Civil
Surgeon/UHFPO",,DGHS,
"Occupational Health
and Safety including
COVID H&S","• Needle-sticks, surgical
cuts, and other injuries
posing transmission risk
of blood-borne diseases
such as COVID-19,","• Prepare a health and safety guidance for COVID-19 and strictly follow
the guidance at the facility.
• Refer to IFC EHS Guidelines for Healthcare Facilities (2007) and relevant
national guidelines and protocols.
• Implement suitable safety standards for all workers and facility visitors.","• Regular inspection and
testing of all safety
features and hazard
control measures and
personal protective
features",,"Medical
Centre
premises",,,"Civil
Surgeon/UHFPO",,DGHS,
