0,1,2,3
Year,Reported,Lab confirmed CRS,"CRS rate /10,000 birth
target (≥1 per 10 000livebirths"
2017,201,11,0.61
2018,221,6,0.66
2019,178,3,0.52
2020,134,4,0.36
2021*,11,1,0.03
