0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Summary of Cases 2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Measles Cases,,,,,Rubella Cases,,,Discarded Cases,,Incidence,,Discarded Rate
"n
o
is
i",District,"s
e
s
a",Lab,E p i-,,Clinically,Lab,E p i -,,Both Negative,"r
o
f n
g n id o ita
nc
eif","Incidence per 1
million
population",,"Non-measles non-
rubella discarded
rate per 100,000 pop"
"v
iD",,"c
la
t
o
T",confirmed,linked,Total,compatible,confirmed,linked,Total,(Discarded),"pis
ss
a
e lc
s
a
C","s
e
ls
a
e
M","a
lle
b
u
R","tc s
ir u
t ta
s iD t s"
"H
G
N
IS
N
E
M
Y
M",JAMALPUR,54,6,0,6,1,2,0,2,45,0,2.21,0.74,1.66
,MYMENSINGH,80,23,0,23,7,1,0,1,49,0,4.01,0.17,0.85
,MYMENSINGH CC.,4,4,0,4,0,0,0,0,0,0,13.11,0.00,0.00
,NETROKONA,54,11,0,11,0,0,0,0,43,0,4.17,0.00,1.63
,SHERPUR,16,2,0,2,0,1,0,1,13,0,1.25,0.62,0.81
MYMENSINGH,,208,46,0,46,8,4,0,4,150,0,3.54,0.31,1.15
"IH
A
H
S
J
A
R",BOGRA,90,10,16,26,0,1,0,1,63,0,6.47,0.25,1.57
,JOYPURHAT,37,3,0,3,0,0,0,0,34,0,2.78,0.00,3.15
,NATORE,84,16,0,16,0,6,0,6,62,0,7.93,2.97,3.07
,NOAGOAN,65,7,2,9,1,2,0,2,53,0,2.93,0.65,1.72
,NOWABGANJ,49,10,0,10,1,2,0,2,36,0,5.13,1.03,1.85
,PABNA,137,9,0,9,20,2,0,2,106,0,3.02,0.67,3.55
,RAJSHAHI,53,6,0,6,0,3,0,3,44,0,2.37,1.18,1.73
,RAJSHAHI CC.,70,6,0,6,0,0,0,0,64,0,11.28,0.00,12.04
,SIRAJGANJ,126,15,26,41,1,0,0,0,84,0,11.20,0.00,2.29
RAJSHAHI,,711,82,44,126,23,16,0,16,546,0,5.77,0.73,2.50
"R
U
P
G
N
A
R",DINAJPUR,54,6,0,6,0,1,0,1,47,0,1.70,0.28,1.33
,GAIBANDHA,54,6,0,6,0,0,0,0,48,0,2.13,0.00,1.71
,KURIGRAM,95,7,0,7,0,0,0,0,88,0,2.86,0.00,3.60
,LALMONIRHAT,25,3,0,3,0,0,0,0,22,0,2.02,0.00,1.48
,NILPHAMARI,65,9,0,9,0,0,0,0,56,0,4.15,0.00,2.58
,PANCHAGHARH,25,7,0,7,0,0,0,0,18,0,5.99,0.00,1.54
,RANGPUR,42,8,0,8,0,0,0,0,34,0,2.62,0.00,1.11
,RANGPUR CC.,3,1,0,1,0,0,0,0,2,0,2.87,0.00,0.57
,THAKURGOAN,83,2,0,2,0,2,0,2,79,0,1.22,1.22,4.81
RANGPUR,,446,49,0,49,0,3,0,3,394,0,2.63,0.16,2.11
"T
E
H
L
Y
S",HABIGANJ,47,3,0,3,0,0,0,0,44,0,1.21,0.00,1.78
,MOULVI BAZAR,37,16,0,16,0,2,0,2,19,0,7.05,0.88,0.84
,SUNAMGANJ,80,44,3,47,0,0,0,0,33,0,16.11,0.00,1.13
,SYLHET,43,19,0,19,0,0,0,0,24,0,5.44,0.00,0.69
,SYLHET CC.,2,2,0,2,0,0,0,0,0,0,3.53,0.00,0.00
SYLHET,,209,84,3,87,0,2,0,2,120,0,7.43,0.17,1.02
Grand Total,,5824,1347,638,1985,425,66,0,66,3348,0,11.7,0.39,1.97
