0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"n
o
is
iv
iD",District,2020,,,,,,,,2021,,,,,,,
,,"s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k a e s a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#","s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k a e s a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#"
"la
s
ir
a
B",Barguna,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Barisal,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
,Barisal CC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Bhola,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Jhalakati,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
,Patuakhali,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
,Perojpur,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Barisal,,8,0,0,0,2,6,0,0,3,1,0,0,0,2,0,0
"g
n
o
g
a
tt
ih
C",Bandarban,6,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Brahmanbaria,4,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0
,Chandpur,2,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
,Chittagong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chittagong CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Comilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Comilla CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Cox's Bazar,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Feni,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Khagrachari,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,Lakshmipur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Noakhali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rangamati,1,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0
Chittagong,,17,12,0,1,0,4,0,10,2,0,0,0,0,0,2,0
"a
k
a
h
D",Dhaka,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
,DNCC,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,DSCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Faridpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gazipur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gazipur CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Gopalganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kishoreganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Madaripur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Munshiganj,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Narayanganj,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Narayanganj CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Narsingdi,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rajbari,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Shariatpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Tangail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dhaka,,3,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0
"a
n
lu
h
K",Bagerhat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Chuadanga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jessore,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Jhenaidah,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Khulna,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Khulna CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kushtia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Magura,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Meherpur,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Narail,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Satkhira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khulna,,10,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0
