0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Summary of Cases 2021*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,Measles Cases,,,,,Rubella Cases,,,Discarded Cases,,Incidence,,Discarded Rate
"n
o
is
i",District,"s
e
sa",Lab,E p i-,,Clinically,Lab,E p i -,,Both Negative,"ro
f g n id n o ita
n e c if","Incidence per 1
million
population",,"Non-measles non-
rubella discarded
rate per 100,000 pop"
"v
iD",,"c
la
to
T",confirmed,linked,Total,compatible,confirmed,linked,Total,(Discarded),"pis
s sa
e lc
sa
C","s
e
lsa
e
M","a
lle
b
u
R","tc s
ir u
ts ta
iD ts"
"H
G
N
IS
N
E
M
Y
M",JAMALPUR,7,0,0,0,0,1,0,1,6,0,0.00,1.35,0.81
,MYMENSINGH,5,0,0,0,0,0,0,0,5,0,0.00,0.00,0.32
,MYMENSINGH CC.,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,NETROKONA,3,0,0,0,0,0,0,0,3,0,0.00,0.00,0.42
,SHERPUR,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.46
MYMENSINGH,,17,0,0,0,0,1,0,1,16,0,0.00,0.28,0.45
"IH
A
H
S
JA
R",BOGRA,14,0,0,0,0,0,0,0,14,0,0.00,0.00,1.27
,JOYPURHAT,1,0,0,0,0,0,0,0,1,0,0.00,0.00,0.34
,NATORE,15,0,0,0,0,0,0,0,15,0,0.00,0.00,2.72
,NOAGOAN,8,0,0,0,0,0,0,0,8,0,0.00,0.00,0.95
,NOWABGANJ,4,0,0,0,0,0,0,0,4,0,0.00,0.00,0.75
,PABNA,7,0,0,0,0,0,0,0,7,0,0.00,0.00,0.86
,RAJSHAHI,5,0,0,0,0,0,0,0,5,0,0.00,0.00,0.72
,RAJSHAHI CC.,6,0,0,0,0,0,0,0,6,0,0.00,0.00,4.13
,SIRAJGANJ,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.20
RAJSHAHI,,62,0,0,0,0,0,0,0,62,0,0.00,0.00,1.04
"R
U
P
G
N
A
R",DINAJPUR,10,0,0,0,0,2,0,2,8,0,0.00,2.07,0.83
,GAIBANDHA,9,0,0,0,0,0,0,0,9,0,0.00,0.00,1.17
,KURIGRAM,8,0,0,0,0,0,0,0,8,0,0.00,0.00,1.20
,LALMONIRHAT,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.49
,NILPHAMARI,12,0,0,0,0,0,0,0,12,0,0.00,0.00,2.03
,PANCHAGHARH,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.63
,RANGPUR,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,RANGPUR CC.,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,THAKURGOAN,17,2,0,2,0,0,0,0,15,0,4.45,0.00,3.34
RANGPUR,,60,2,0,2,0,2,0,2,56,0,0.39,0.39,1.10
"T
E
H
L
Y
S",HABIGANJ,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
,MOULVI BAZAR,2,0,0,0,0,0,0,0,2,0,0.00,0.00,0.32
,SUNAMGANJ,11,0,0,0,0,2,0,2,9,0,0.00,2.51,1.13
,SYLHET,4,1,0,1,0,0,0,0,3,0,1.05,0.00,0.31
,SYLHET CC.,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00
SYLHET,,17,1,0,1,0,2,0,2,14,0,0.31,0.62,0.44
Grand Total,,459,15,0,15,0,19,0,19,425,0,0.32,0.41,0.91
MR Campaign 2020,,,,,,,,,,,,,,
